source_text,level,link,name,metadata
"People in Alaska are buying special vests to protect their pets from bald eagles. Recently, eagles stole some dogs. The eagles can fly away with a 6-kilogram dog. There are around 30,000 bald eagles in Alaska. Bird lovers are happy about this, but pet owners are worried. Farmers dislike the eagles because they kill their chickens.The vest is called the CoyoteVest. It protects dogs from coyotes - wild dogs. The vest has sharp things on it. These protect the pet. Some vests are brightly coloured to scare birds away. It is made from a strong material. This protects dogs from the teeth of larger dogs. It gives owners time to help their pet before it gets hurt.",A1,https://breakingnewsenglish.com/2105/210520-bald-eagles-0.html,breakingnewsenglish,
"A man who can't move his hands used his thoughts to write. He is paralyzed from the neck down. He has a spinal cord injury. Scientists call him T5. They put two sensors into T5's brain so he could use his mind to write. The scientists call this ""mindwriting"". T5 can write 18 words per minute.Mindwriting is simple, but it uses a lot of technology. Scientists asked T5 to imagine writing with a pen. The two sensors turned his brain activity into text on a screen. A researcher hopes mindwriting will help paralyzed people and people who cannot speak to write. Mindwriting might help us to write at the speed of thought.",A1,https://breakingnewsenglish.com/2105/210516-brain-implants-0.html,breakingnewsenglish,
"Computer chip technology has advanced a lot. Smartphones can now stream movies, store lots of data and play amazing games. IBM has made a new chip with amazing performance. It uses 75 per cent less energy. This is good for the environment. Soon, we will only need to charge our phones every four days.IBM cut the size of its chips. Computer engineers measure chips in nanometres. One nanometre is a billionth of a metre. IBM's new chip is 2nm. A computer expert said IBM's new chip could make artificial intelligence better. It could also let data centres store more information. However, data centres use lots of electricity.",A1,https://breakingnewsenglish.com/2105/210512-microchips-0.html,breakingnewsenglish,
"Governments spend many years making borders. A farmer in Belgium changed the border between Belgium and France in a few minutes. He made Belgium about 1,000 square meters bigger. He moved a border stone 2.29 metres inside France. He moved it so he could drive his tractor around his field more easily. Moving a border can lead to war. Luckily, Belgium and France saw the funny side of this. The mayor of the Belgian town said the stone was put there in 1819. He said he would find the person who moved the stone. The mayor added: ""We know exactly where the stone was before. It was right next to a tree.""",A1,https://breakingnewsenglish.com/2105/210508-borders-0.html,breakingnewsenglish,
"We put many photos online. Researchers looked at what bird photos people ""liked"". They did research on the photo-sharing app Instagram. They wanted to know: ""What makes a great bird photo?"". They found the most 'instagrammable' bird is the frogmouth. This is a nocturnal bird that lives in India and Australia.The researchers looked at 30,000 bird photos. They used a programme to find which photos got the most ""likes"". The frogmouth was top because of its large eyes. Most birds' eyes are on the sides of their head, but the frogmouth's eyes are in the centre. This makes it look human, cute and cuddly.",A1,https://breakingnewsenglish.com/2105/210504-bird-photos-0.html,breakingnewsenglish,
"Many countries are sending oxygen to India. India has 1.3 billion people. There are over 300,000 new COVID-19 cases every day in India. Its hospitals are in trouble. They are turning people with the virus away. There are not enough beds and oxygen. Singapore sent oxygen to India. Amazon will deliver 100 ventilators to India.Singapore said it was urgent to help India. The pandemic is a global threat. It does not care what country, nationality or race you are from. The WHO said the situation in India was ""beyond heartbreaking"". It is sending equipment and supplies. It said: ""The growth...in case numbers is really, truly astonishing.""",A1,https://breakingnewsenglish.com/2104/210430-oxygen-aid-0.html,breakingnewsenglish,
Tokyo's motor show has been cancelled for the first time. This is because of coronavirus. It is difficult for people to have a good experience in a safe environment. Tokyo is under a two-week coronavirus emergency. Japan is worried coronavirus might cancel the Tokyo Olympics in July.The Tokyo Motor Show started in 1954. It is one of the world's top motor shows. Many car fans go to see it. The show is different from other motor shows because it focuses on design. There are many futuristic cars. We can look at what cars might look like in the future.,A1,https://breakingnewsenglish.com/2104/210426-tokyo-motor-show-0.html,breakingnewsenglish,
"Europe's top football clubs created a super league. It fell apart less than 48 hours later. The European Super League made fans, players and managers angry. The British Prime Minister was angry. He said the new league would destroy football. Many football fans protested. They said greedy club owners created the ESL.Top teams from England, Spain and Italy joined the ESL. No teams from Germany and France joined. This made it less European. In Germany, fans own 51 per cent of their teams. Fan power is big. The UK government said it would take action to stop the ESL. FIFA could ban players who played in the ESL from the World Cup.",A1,https://breakingnewsenglish.com/2104/210422-european-super-league-0.html,breakingnewsenglish,
"People are afraid of strange things. The latest thing to cause fear in Poland is a croissant. A croissant scared some people in Krakow. They made a mistake. They said it was an animal. They were very worried. They kept their windows closed for a few days. They called an animal welfare society for help.One person said the strange animal was a lizard. A welfare officer went to look. He saw a ""brown creature"" in a tree. He said: ""The poor little guy had no legs or head."" When he saw the strange animal was really a croissant, he laughed a lot. He was happy the people called him. He said it was better to be safe than sorry.",A1,https://breakingnewsenglish.com/2104/210418-croissant-0.html,breakingnewsenglish,
A university said students will not lose marks for language mistakes. It thinks asking students to have a high level of written English is unfair to ethnic minorities. It is also unfair to poorer students with lower grades. The university wants to make tests fairer. It wants to stop poorer students from dropping out.Asking for well-written English is unfair to people with dyslexia. They have problems using letters and words. It is harder for them to write with no mistakes. The university also said it could stop overseas students from going to university. Another university said it is fairer to focus on students' ideas and not their spelling.,A1,https://breakingnewsenglish.com/2104/210414-spelling-0.html,breakingnewsenglish,
"A postcard from the Titanic could sell for $15,000. It was written by a ship worker, Jack Phillips. He wrote it to his sister. The postcard has photos of the Titanic on one side. On the address side there is a postmark from a post office in Belfast. The card is one of many things from the Titanic for sale in the auction.The Titanic was built in 1912. Its builders said it could not sink. It sailed for the first time on April the 10th, 1912. It hit an iceberg five days later and sank. More than 1,500 passengers died. Mr Phillips escaped. He waited to be rescued, but he died from the cold. He was 25 years old. The story of the Titanic was made into a movie.",A1,https://breakingnewsenglish.com/2104/210410-titanic-postcard-0.html,breakingnewsenglish,
"Ocean explorers filmed the deepest known shipwreck for the first time. The Japanese Navy sunk the World War II battleship in 1944. It is now on the ocean floor, 6,456 metres deep. The film crew went down to that depth in a special submarine that can work in the deep-sea pressure. The filming happened in two eight-hour dives.The lead explorer was in the US Navy. He is an adventurer. He is the first person ever to get to the top of all the world's continents, both poles, and the bottom of all the world's oceans. He said: ""As a US Navy officer, I'm proud to have helped bring clarity and closure to the [battleship].""",A1,https://breakingnewsenglish.com/2104/210406-shipwreck-0.html,breakingnewsenglish,
"Cherry blossoms in Kyoto bloomed at their earliest in 600 years. They peaked a day earlier than the previous record set in 1409. Data on Kyoto's cherry blossoms go back 1,200 years to the year 812. Japan had warmer weather this year. Weather forecasters say climate change made the blossoms come earlier than normal.Cherry blossoms are called ""sakura"" in Japan. People go to famous cherry blossom spots to have picnics. The blossoms help Japan's economy. A Japanese newspaper wrote: ""Sakura has deeply influenced Japanese culture for centuries....Their fragility is seen as a symbol of life, death and rebirth.""",A1,https://breakingnewsenglish.com/2104/210402-cherry-blossoms-0.html,breakingnewsenglish,
"NASA said asteroids will not be a danger to Earth for 100 years. Some people worried about the end of the world. NASA has been checking a 335-metre asteroid called Apophis. In 2004, they thought it could be dangerous. They thought it could kill over 10 million people. They thought it could hit Earth in 2068.The scientists used radar to look at the asteroid's path. They got very precise information about its distance. Apophis is now 10.6 million miles away from us. It will come within 20,000 miles of Earth in 2029. Another scientist was happy that Apophis is no longer dangerous. He said he was looking forward to studying it.",A1,https://breakingnewsenglish.com/2103/210329-nasa-0.html,breakingnewsenglish,
"Farmers worry about things like rain or pests. British farmers have a new worry - stink bugs that have arrived from China, Japan or Korea. These smelly insects damage fruit and vegetables on farms. They create a bad smell when they are in danger. They arrived in the USA 30 years ago. They are now a big problem for farmers.Stink bugs suck out the juice from fruits and vegetables. This makes the fruit go bad. There is no risk to our health if we eat this damaged fruit. Stink bugs can eat over one hundred different types of plants. A scientist said: ""With climate change and global trade, these stories are going to become more frequent.""",A1,https://breakingnewsenglish.com/2103/210325-stink-bugs-0.html,breakingnewsenglish,
"Pigs are intelligent and can play video games. Researchers tested their gaming skills. The researchers got four pigs to play a simple game at different levels. They moved a joystick with their nose to move a cursor. If they did it, they got a treat. The lead researcher said the pigs could understand what to do.The pigs spent many days playing the game on three different levels. The higher levels had nicer treats. A scientist said: ""The pigs clearly understood the connection between their own behavior, the joystick, and what was happening on the screen."" The researchers want to understand how pigs learn and understand.",A1,https://breakingnewsenglish.com/2103/210321-pigs-0.html,breakingnewsenglish,
"Plastic is a problem. It makes rivers and oceans dirty. It kills animals. It takes hundreds of years to disappear. Many companies want to replace plastic. Coca-Cola is trying to make a paper bottle. It wants to stop using plastic for its drinks bottles. Coca-Cola was the world's number one plastic polluter in 2019.Coca-Cola said: ""Our vision is to create a paper bottle that can be recycled like any other type of paper. A paper bottle opens up a whole new world of packaging."" Coca-Cola wants to use only packaging from renewable sources. These will be recyclable and sustainable. They will be good for our planet.",A1,https://breakingnewsenglish.com/2103/210317-paper-bottle-0.html,breakingnewsenglish,
"South Korean pop music is popular worldwide. The boy band BTS is the most successful. They are the first K-pop band to have a number one song in the U.S. The world's biggest music label, Universal, will join a live-streaming platform set up by Korea's biggest record labels. It will work with the company BTS belongs to.Universal also teamed up with YG Entertainment. YG said: ""We will work closely with…Universal…globally for the successful…debut and promotion of [our girl band] BLACKPINK. In addition, we will do our best to help other YG artists to break into the North American and European markets."" YG added: ""Real talent…has no boundaries.""",A1,https://breakingnewsenglish.com/2103/210313-k-pop-0.html,breakingnewsenglish,
"We all know elephants have the biggest ears. However, scientists tried to find which animal has the biggest ears for its body size. A natural history museum found out. It is the long-eared jerboa. The jerboa is a rodent. It lives in the deserts of China. It is nocturnal. This means it is active at night, but sleeps in the day.A zoologist said the jerboa's body is 10 centimetres long. Its ears are up to 5cm long. This is 50 per cent as long as its body. Elephant's ears are 17 per cent of its body length. Jerboas live in very hot places. Their large ears release heat from their body. This helps them to keep cool.",A1,https://breakingnewsenglish.com/2103/210309-animal-ears-0.html,breakingnewsenglish,
