source_text,level,link,name,metadata
"I am new to the city. I do not know anyone. But an old woman lives next door. Her name is Val. She gives me a big box of vegetables.She grows them in a garden by the sidewalk. There are carrots, tomatoes, beans, and peas. They are the best vegetables I ever ate. Val lives alone, too. But she seems happy in her garden. She loves plants. Sometimes, I can hear her talking to them. Maybe that is why they grow so big.One day, I stop seeing Val in the garden. I see people take many boxes from her home. Weeds grow in her garden. The dirt is dry. The plants look sad. Val must have passed on.So I pull the weeds. I water the garden. I even talk to the plants.Then a family moves next door. They are new to the city. They do not know anyone. And I give them a big box of vegetables from Vals garden.",A1,https://continuingstudies.uvic.ca/elc/studyzone/200/reading/vals-garden1,continuingstudies,{'audio_link': https://hlsvod.uvic.ca/vod/dcs/elc/studyzone/200-stories-cam/vals-garden.mp3}
"This is Meg. Meg lives in South Africa. She has three kids. It is hard to feed her kids. White people own most of the farmland in South Africa. Meg does not have land for a garden. Food costs a lot of money.But Meg has a very good way to grow food. She finds a big sack. She puts rocks in the middle of the sack. She fills the rest of the sack with dirt. She makes little holes in the side of the sack. She puts a tomato plant in one hole. She puts a bean plant in one hole. She puts a green pepper plant in one hole. She puts eggplant in the top of the sack. She waters the sack garden from the top.Her garden does not need much water. Her garden does not need much room. Her garden does not cost much money to make. Her garden does not have many weeds.Now Meg can feed her kids.",A1,https://continuingstudies.uvic.ca/elc/studyzone/200/reading/sack-garden1,continuingstudies,{'audio_link': https://hlsvod.uvic.ca/vod/dcs/elc/studyzone/200-stories-cam/the-sack-garden.mp3}
"It is hard to be a farmer. Cold weather can kill your crops. Bugs can eat your crops. Weeds can hurt your crops. Your crops may need more rain than they get. Fruits and Vegetables can go bad before they are sold. Some people say farmers can fix all of this with GM food.What is GM food? All living things have DNA. DNA tells living things how to grow. These days, people can change the DNA that tells food how to grow. When people change the DNA of food, it is called GM food.Some GM food can grow in cold weather. GM food can stop bugs from eating it. GM fruits and vegetables can stay good longer. One day, GM food may be able to grow in dry land in Africa. It will feed people who do not have much food.But there is a lot we do not know about GM food. Will GM companies help poor people grow food? Or do GM companies just want to get rich? Does GM food kill bugs we need, like butterflies? Does GM food make birds sick? Does GM food make people sick? We do not know. There have not been many tests on GM food.Do you think farmers should grow GM food?",A1,https://continuingstudies.uvic.ca/elc/studyzone/200/reading/gm-food1,continuingstudies,{'audio_link': https://hlsvod.uvic.ca/vod/dcs/elc/studyzone/200-stories-cam/gm-food.mp3}
"The tomato is from South America. When the tomato came to Europe, people did not eat it. Doctors said it would make them sick. So people just grew tomatoes because they looked nice.Now people from all over the world eat tomatoes. Tomatoes are used in sauce, soup, juice, salsa, and ketchup. The tomato is very good for you. Only a tomato leaf or stem will make you sick.People do odd things with tomatoes. People grow tomatoes in space. There is a big tomato fight every year in Spain. A long time ago, people would toss a bad tomato when they saw a show they did not like.In Canada, many tomatoes are grown on big farms. The farms bring in poor people from far away to help grow tomatoes. Without these workers, the farms could not run. But the workers do not get much money. Canada does not let the workers stay here. Many people say this is not fair.Most farms pick tomatoes before they are ripe. They last longer this way. But these tomatoes do not taste as good. So lots of people grow their own tomatoes.Grow Your Own TomatoesTomatoes that you grow are better than tomatoes that you buy. You can grow tomatoes inside if you do not have a garden. You need: Tomato seedsA big pot (50 cm deep)Potting soil (many big food shops sell this)A windowFill the pot with potting soil. Pack the soil down a little bit. Put a seed on top of the soil. Add a bit more soil on top.Add water. The soil must always be a bit wet. Seeds like to be warm. Put your pot in a warm place. It does not need sun yet.The plant will grow above the soil. Put the plant by a window. The plant needs four hours of sun a day. You can tie the stem to a stick to help the plant stay up. Always keep the soil a bit wet.Pick the tomatoes when they are the same red colour top to bottom. Enjoy!",A1,https://continuingstudies.uvic.ca/elc/studyzone/200/reading/tomatoes1,continuingstudies,{'audio_link': https://hlsvod.uvic.ca/vod/dcs/elc/studyzone/200-stories-cam/tomatoes.mp3}
"A man named Randy liked to hunt trees. He looked for big trees and old trees. He made maps to show where these trees were. He did not want to cut them down. He wanted people to take care of them.Randy was told of a very tall tree on Vancouver Island. The tree was said to be 314 feet tall. That would make it the tallest tree in Canada. Randy set out to find the tree.But someone else found it first. It was found by a logger. Loggers wanted to cut down Canadas tallest tree and all the trees around it.Randy made a path in the forest so people could see the tall tree. The tree was so big and beautiful it would fill them with awe. More and more people wanted to save that forest. Thanks to these people, that forest is now a park. Canadas tallest tree is still there.There may still be a bigger tree out there. Maybe you will find it. But there are only a few old forests left in Canada. Many are still at risk of being cut down.",A1,https://continuingstudies.uvic.ca/elc/studyzone/200/reading/tallest-tree1,continuingstudies,{'audio_link': https://hlsvod.uvic.ca/vod/dcs/elc/studyzone/200-stories-cam/canadas-tallest-tree.mp3}
"David wants to buy a Christmas present for a very special person, his mother. David's father gives him $5.00 a week pocket money and David puts $2.00 a week into his bank account. After three months David takes $20.00 out of his bank account and goes to the shopping mall. He looks and looks for a perfect gift.Suddenly he sees a beautiful brooch in the shape of his favourite pet. He says to himself, ""My mother loves jewelry, and the brooch costs only $17.00."" He buys the brooch and takes it home. He wraps the present in Christmas paper and places it under the tree. He is very excited and he is looking forward to Christmas morning to see the joy on his mother's face.But when his mother opens the present she screams with fright because she sees a spider.",A1,https://continuingstudies.uvic.ca/elc/studyzone/200/reading/xmas1,continuingstudies,{'audio_link': https://hlsvod.uvic.ca/vod/dcs/elc/studyzone/200-stories-cam/a-special-christmas-present.mp3}
"Mrs. Wilson and Mrs. Smith are sisters. Mrs. Wilson lives in a house in Duncan and Mrs. Smith lives in a condominium in Victoria. One day Mrs. Wilson visited her sister. When her sister answered the door, Mrs. Wilson saw tears in her eyes. ""What's the matter?"" she asked. Mrs. Smith said ""My cat Sammy died last night and I have no place to bury him"".She began to cry again. Mrs. Wilson was very sad because she knew her sister loved the cat very much. Suddenly Mrs. Wilson said ""I can bury your cat in my garden in Duncan and you can come and visit him sometimes."" Mrs. Smith stopped crying and the two sisters had tea together and a nice visit. It was now five o'clock and Mrs. Wilson said it was time for her to go home. She put on her hat, coat and gloves and Mrs. Smith put the dead Sammy into a shopping bag. Mrs. Wilson took the shopping bag and walked to the bus stop. She waited a long time for the bus so she bought a newspaper. When the bus arrived, she got on the bus, sat down and put the shopping bag on the floor beside her feet. She then began to read the newspaper. When the bus arrived at her bus stop, she got off the bus and walked for about two minutes. Suddenly she remembered she had left the shopping bag on the bus.",A1,https://continuingstudies.uvic.ca/elc/studyzone/200/reading/smicat1,continuingstudies,{'audio_link': https://hlsvod.uvic.ca/vod/dcs/elc/studyzone/200-stories-cam/two-sisters-and-the-cat.mp3}
"Vancouver Islands Pacific Rim Whale FestivalIn British Columbia, people have festivals that celebrate the things that make their hometown special. Every year, about 20,000 grey whales swim past the west coast of Vancouver Island. The whales travel from Mexico to the Arctic and back again. The whole trip is about 16,000 kilometres. Every March, the people who live around the Pacific Rim National Park have a festival to celebrate the whales journey. The festival is the Pacific Rim Whale Festival. The whales travel very close to the shore as they swim north. This allows people to gather together to watch the whales from land and from boats.Nanaimos Bathtub RaceOn the east coast of Vancouver Island, you can see people moving through the water in a strange type of boat. During the Nanaimo Bathtub Race, people have a big race in boats made from bathtubs! The city of Nanaimo is home to the oldest and most famous bathtub boat race in the world. The race started as a silly event in 1967. Today, Nanaimos World Championship Bathtub Race is a serious sport that brings racers and visitors from around the world.Vancouvers Dragon Boat FestivalVancouver is home to another famous festival on the water. This is the Dragon Boat Festival. Dragon boat racing started in China more than 2,000 years ago. It was brought to Vancouver during the Worlds Fair called Expo 86. The Dragon Boat Festival came back to Vancouver in 1989 to celebrate the many cultures living together in the city. The festival begins with a ceremony. The ceremony wakes up the dragon and gives the people and boats the dragons strength. Each boat has a dragons head on the front and a tail on the back. The boat holds a team of about 20 people. The people in the boats paddle to the beat of a drummer. The drummer sits at the front of the dragon boat.",A2,https://continuingstudies.uvic.ca/elc/studyzone/330/reading/bc-festivals1,continuingstudies,{'audio_link': https://hlsvod.uvic.ca/vod/dcs/elc/studyzone/330-stories-cam/all-together-now-three-bc-festivals.mp3}
"The land we now call British Columbia is home to more First Nations languages than any other part of Canada. About 32 First Nations languages are spoken here. But many of these languages are at risk. For example, there are now fewer than 10 people who can speak the language of the Skwomesh Nation. Most of the speakers are over the age of 65.There is a young man named Khelsilem Rivers. Khelsilem is 24 years old. He has learned the Skwomesh language. He spends much of his time working to keep the Skwomesh language alive. Khelsilem lives in a house with other young people who want to speak their traditional language every day.Why is language so important? Language is how we practice our culture. We share our stories, our songs, our history, and our teachings through language. Language is part of our identity. People in our families who were alive before us are called our ancestors. Language connects us to our ancestors. Knowing our language helps us be healthy in mind, body, and spirit.Skwomesh is one of the aboriginal languages in British Columbia that is at risk. This means that the Skwomesh language could be lost forever. It could be lost forever because no one will ever speak Skwomesh again. Native people are now being helped by university departments to help preserve their languages. In the past, many Canadians did not respect aboriginal languages and this was wrong. Hopefully, in the future, native people like Khelsilem Rivers will keep the Skwomesh, and many other native languages alive. This will help Canadas aboriginal peoples preserve their culture.",A2,https://continuingstudies.uvic.ca/elc/studyzone/330/reading/first-nations-languages1,continuingstudies,{'audio_link': https://hlsvod.uvic.ca/vod/dcs/elc/studyzone/330-stories-cam/spread-the-word.mp3}
"One day Nasreddin borrowed a pot from his neighbour Ali. The next day he brought it back with another little pot inside. ""That's not mine,"" said Ali. ""Yes, it is,"" said Nasreddin. ""While your pot was staying with me, it had a baby.""Some time later Nasreddin asked Ali to lend him a pot again. Ali agreed, hoping that he would once again receive two pots in return. However, days passed and Nasreddin had still not returned the pot. Finally Ali lost patience and went to demand his property. ""I am sorry,"" said Nasreddin. ""I can't give you back your pot, since it has died."" ""Died!"" screamed Ali, ""how can a pot die?"" ""Well,"" said Nasreddin, ""you believed me when I told you that your pot had had a baby.""",A2,https://continuingstudies.uvic.ca/elc/studyzone/330/reading/pot1,continuingstudies,{'audio_link': https://hlsvod.uvic.ca/vod/dcs/elc/studyzone/330-stories-cam/nasreddin-and-the-pot.mp3}
