source_text,level,link,name,metadata
"The canopy, the upper level of the trees in the rain forest, holds a plethora of climbing mammals of moderately large size, which may include monkeys, cats, civets, and porcupines. Smaller species, including such rodents as mice and small squirrels, are not as prevalent overall in high tropical canopies as they are in most habitats globally.Small mammals, being warm blooded, suffer hardship in the exposed and turbulent environment of the uppermost trees. Because a small body has more surface area per unit of weight than a large one of similar shape, it gains or loses heat more swiftly. Thus, in the trees, where shelter from heat and cold may be scarce and conditions may fluctuate, a small mammal may have trouble maintaining its body temperature.Small size makes it easy to scramble among twigs and branches in the canopy for insects, flowers, or fruit, but small mammals are surpassed, in the competition for food, by large ones that have their own tactics for browsing among food-rich twigs. The weight of a gibbon (a small ape) hanging below a branch arches the terminal leaves down so that fruit-bearing foliage drops toward the gibbons face. Walking or leaping species of a similar or even larger size access the outer twigs either by snapping off and retrieving the whole branch or by clutching stiff branches with the feet or tail and plucking food with their hands.Small climbing animals may reach twigs readily, but it is harder for them than for large climbing animals to cross the wide gaps from one tree crown to the next that typify the high canopy. A macaque or gibbon can hurl itself farther than a mouse can: it can achieve a running start, and it can more effectively use a branch as a springboard, even bouncing on a limb several times before jumping. The forward movement of a small animal is seriously reduced by the air friction against the relatively large surface area of its body. Finally, for the many small mammals the supplement their insect diet with fruits or seeds, an inability to span open gaps between tree crowns may be problematic, since trees that yield these foods can be sparse.",C1,https://englishteststore.net/test/reading/advanced/test01/index.html,englishteststore,{}
"During the seventeenth and eighteenth centuries, almost nothing was written about the contribution of women during the colonial period and the early history of the newly formed United States. Lacking the right to vote and absent from the seats of power, women were not considered an important force in history. Anne Bradstreet wrote some significant poetry in the seventeenth century, Mercy Otis Warren produced the best contemporary history of the American Revolution, and Abigail Adams penned important letters showing she exercised great political influence over her husband, John, the second President of the United States. But little or no notice was taken of these contributions. During these centuries, women remained invisible in history books.Throughout the nineteenth century, this lack of visibility continued, despite the efforts of female authors writing about women. These writers, like most of their male counterparts, were amateur historians. Their writings were celebratory in nature, and they were uncritical in their selection and use of sources.During the nineteenth century, however, certain feminists showed a keen sense of history by keeping records of activities in which women were engaged National, regional, and local womens organizations compiled accounts of their doings. Personal correspondence, newspaper clippings, and souvenirs were saved and stored. These sources form the core of the two greatest collections of womens history in the United Statesone at the Elizabeth and Arthur Schlesinger Library at Radeliffe College, and the other the Sophia Smith Collection at Smith College. Such sources have provided valuable materials for later generations of historians.Despite the gathering of more information about ordinary women during the nineteenth century, most of the writing about women conformed to the great women theory of history, just as much of mainstream American history concentrated on great men. To demonstrate that women were making significant contributions to American life, female authors singled out women leaders and wrote biographies, or else important women produced their autobiographies. Most of these leaders were involved in public life as reformers, activists working for womens right to vote, or authors, and were not representative at all of the great mass of ordinary women. The lives of ordinary people continued, generally, to be untold in the American histories being published.",C1,https://englishteststore.net/test/reading/advanced/test02/index.html,englishteststore,{}
"The end of the nineteenth century and the early years of the twentieth century were marked by the development of an international Art Nouveau style, characterized by sinuous lines, floral and vegetable motifs, and soft evanescent coloration. The Art Nouveau style was an eclectic one, bringing together elements of Japanese art, motifs of ancient cultures, and natural forms. The glass objects of this style were elegant in outline, although often deliberately distorted, with pale or iridescent surfaces. A favored device of the style was to imitate the iridescent surface seen on ancient glass that had been buried.Much of the Art Nouveau glass produced during the years of its greatest popularity had been generically termed art glass. Art glass was intended for decorative purposes and relied for its effect upon carefully chosen color combinations and innovative techniques.France produced a number of outstanding exponents of the Art Nouveau style: among the most celebrated was Emile Gallé (1846-1901). In the United States, Louis Comfort Tiffany(1848-1933)was the most noted exponent of this style, producing a great variety of glass forms and surfaces, which were widely copied in their time and are highly prized today. Tiffany was a brilliant designer, successfully combining ancient Egyptian.The Art Nouveau style was a major force in the decorative arts from 1895 until 1915, although its influence continued throughout the mid-1920s. It was eventually to be overtaken by a new school of thought known as Functionalism that had present since the turn of the century. At first restricted to a small avant-garde group of architects and designers. Functionalism emerged as the dominant influence upon designers alter the First World War. The basic tenet of the movementthat function should determine formwas not a new concept. Soon a distinct aesthetic code evolved: form should be simple, surfaces plain, and any ornament should be based on geometric relationships. This new design concept, coupled with the sharp postwar reactions to the style and conventions of the preceding decades, created an entirely new public taste which caused Art Nouveau types of glass to fall out of favor. The new taste demanded dramatic effects of contrast stark outline, and complex textural surfaces.",C1,https://englishteststore.net/test/reading/advanced/test03/index.html,englishteststore,{}
"During most of their lives, surge glaciers behave like normal glaciers, traveling perhaps only a couple of inches per day. However, at intervals of 10 to 100 years, these glaciers move forward up to 100 times faster than usual. The surge often progress along a glacier like a great wave, proceeding from one section to another. Subglacial streams of meltwater might act as a lubricant, allowing the glacier to flow rapidly toward the sea. The increasing water pressure under the glacier might lift it off its bed, overcoming the friction between ice and rock, thus freeing the glacier, which rapidly slides downhill. Surge glaciers also might be influenced by the climate, volcanic heat, or earthquakes. However, many of these glaciers exist in the same areas as normal glaciers, often almost side by side.Some 800 years ago, Alaskas Hubbard Glacier advanced toward the sea, retreated, and advanced again 500 years later. Since 1895, this seventy-mile-long river of ice has been flowing steadily toward the Gulf of Alaska at a rate of approximately 200 feet per year. In June 1986, however, the glacier surged ahead as much as 47 feet a day. Meanwhile, a western tributary, called Valerie Glacier, advanced up to 112 feet per day. Hubbards surge closed off Russell Fiord with a formidable ice dam, some 2,500 feet wide and up to 800 feet high, whose caged waters threatened the town of Yakutat to the south.About 20 similar glaciers around the Gulf of Alaska are heading toward the sea. If enough surge glaciers reach the ocean and raise sea levels, West Antarctic ice shelves could rise off the seafloor and become adrift. A flood of ice would then surge into the Southern Sea. With the continued rise in sea level, more ice would plunge into the ocean, causing sea levels to rise even higher, which in turn would release more ice and set in motion a vicious cycle. The additional sea ice floating toward the tropics would increase. Earths albedo and lower global temperatures, perhaps enough to initiate a new ice age. This situation appears to have occurred at the end of the last warm interglacial (the time between glaciations), called the Sangamon, when sea ice cooled the ocean dramatically, spawning the beginning of the Ice Age.",C1,https://englishteststore.net/test/reading/advanced/test04/index.html,englishteststore,{}
"According to sociologists, there are several different ways in which a person may become recognized as the leader of a social group in the United States. In the family traditional cultural patterns confer leadership on one or both of the parents. In other cases, such as friendship groups, one or more persons may gradually emerge as leaders, although there is no formal process of selection. In larger groups, leaders are usually chosen formally through election or recruitment.Although leaders are often thought to be people with unusual personal ability, decades of research have failed to produce consistent evidence that there is any category of natural leaders. It seems that there is no set of personal qualities that all leaders have in common; rather, virtually any person may be recognized as a leader if the person has qualities that meet the needs of that particular group.Furthermore, although it is commonly supposed that social groups have a single leader, research suggests that there are typically two different leadership roles that are held by different individuals. Instrumental leadership is leadership that emphasizes the completion of tasks by a social group. Group members look to instrumental leaders to get things done. Expressive leadership, on the other hand, is leadership that emphasizes the collective well-beings of a social groups members. Expressive leaders are less concerned with the overall goals of the group than with providing emotional support to group members and attempting to minimize tension and conflict among them. Group members expect expressive leaders to maintain stable relationships within the group and provide support to individual members.Instrumental leaders are likely to have a rather secondary relationship to other group members. They give others and may discipline group members who inhibit attainment of the groups goals. Expressive leaders cultivate a more personal or primary relationship to others in the group. They offer sympathy when someone experiences difficulties or is subjected to discipline, are quick to lighten a serious moment with humor, and try to resolve issues that threaten to divide the group. As the difference in these two roles suggest, expressive leaders generally receive more personal affection from group members; instrumental leaders, if they are successful in promoting group goals, may enjoy a more distant respect.",C1,https://englishteststore.net/test/reading/advanced/test05/index.html,englishteststore,{}
"The ocean bottoma region nearly 2.5 times greater than the total land area of the Earthis a vast frontier that even today is largely unexplored and uncharted. Until about a century ago, the deepocean floor was completely inaccessible, hidden beneath waters averaging over 3,6000 meters deep. Totally without light and subjected to intense pressures hundreds of times greater than at the Earth's surface, the deepocean bottom is a hostile environment to humans, in some ways as forbidding and remote as the void of outer space.Although researchers have taken samples of deepocean rocks and sediments for over a century, the first detailed global investigation of the ocean bottom did not actually start until 1968, with the beginning of the National Science Foundation's Deep Sea Drilling Project (DSDP). Using techniques first developed for the offshore oil and gas industry, the DSDP's drill ship, the Glomar Challenger, was able to maintain a steady position on the ocean's surface and drill in very deep waters, extracting samples of sediments and rock from the ocean floor.The Glomar Challenger completed 96 voyages in a 15year research program that ended in November 1983. During this time, the vessel logged 600,000 kilometers and took almost 20,000 core samples of seabed sediments and rocks at 624 drilling sites around the world. The Glomar Challenger's core samples have allowed geologists to reconstruct what the planet looked like hundreds of millions of years ago and to calculate what it will probably look like millions of years in the future. Today, largely on the strength of evidence gathered during the Glomar Challenger's voyages, nearly all earth scientists agree on the theories of plate tectonics and continental drift that explain many of the geological processes that shape the Earth.The cores of sediment drilled by the Glomar Challenger have also yielded information critical to understanding the world's past climates. Deepocean sediments provide a climatic record stretching back hundreds of millions of years, because they are largely isolated from the mechanical erosion and the intense chemical and biological activity that rapidly destroy much landbased evidence oof past climates. This record has already provided insights into the patterns and causes of past climatic changeinformation that may be used to predict future climates.",C1,https://englishteststore.net/test/reading/advanced/test06/index.html,englishteststore,{}
"Basic to any understanding of Canada in 20 years after the Second World War is the country's impressive population growth. For every three Canadians in 1945, there were over five in 1996. In September 1966 Canada's population passed the 20 million mark. Most of this surging growth came from natural increase. The depression of the 1930's and the war had held back marriages and the catchingup process began after 1945. The baby boom continued through the decade of the 1950's, producing a population increase of nearly fifteen percent in the five years from 1951 to 1956. This rate of increase had been exceeded only once before in Canada's history, in the decade before 1911, when the prairies were being settled. Undoubtedly, the good economic conditions of the 1950's supported a growth in the population, but the expansion also derived from a trend toward earlier marriages and an increase in the average size of families. In 1957 the Canadian birth rate stood at 28 per thousand, one of the highest in the world.After the peak year of 1957, the birth rate in Canada began to decline. It continued falling until in 1966 it stood at the lowest level in 25 years. Partly this decline reflected the low level of births during the depression and the war, but it was also caused by changes in Canadian society. Young people were staying at school longer, more women were working, young married couples were buying automobiles or houses before starting families, rising living standards were cutting down the size of families. It appeared that Canada was once more falling in step with the trend toward smaller families that had occurred all through the Western world since the time of the Industrial Revolution.Although the growth in Canada's population has slowed down by 1966(the increase in the first half of the 1960's was only nine percent). Another large population wave was coming over the horizon. It would be composed of the children of the children who were born during the period of the high birth rate prior to 1957.",C1,https://englishteststore.net/test/reading/advanced/test07/index.html,englishteststore,{}
"Are organically grown foods the best food choices? The advantages claimed for such foods over conventionally grown and marketed food products are now being debated. Advocates of organic foodsa term whose meaning varies greatlyfrequently proclaim that such products are safer and more nutritious than others.The growing interest of consumers in the safety and more nutritional quality of the typical North American diet is a welcome development. However, much of this interest has been sparked by sweeping claims that the food supply is unsafe or in adequate in meeting nutritional needs. Although most of these claims are not supported by scientific evidence, the preponderance of written material advancing such claims makes it difficult for the general public to separate fact from fiction. As a result, claims that eating a diet consisting entirely of organically grown foods prevents or cures disease or provides other benefits to health have become widely publicized and form the basis for folklore.Almost daily the public is besieged by claims for ""no-aging"" diets, new vitamins, and other wonder foods. There are numerous unsubstantiated reports that natural vitamins are superior to synthetic ones, that fertilized eggs are nutritionally superior to unfertilized eggs, that untreated grains are better than fumigated grains and the like.One thing that most organically grown food products seem to have in common is that they cost more than conventionally grown foods. But in many cases consumers are misled if they believe organic foods can maintain health and provide better nutritional quality than conventionally grown foods. So there is real cause for concern if consumers, particularly those with limited incomes, distrust the regular food and buy and buy only expensive organic foods instead.",C1,https://englishteststore.net/test/reading/advanced/test08/index.html,englishteststore,{}
"There are many theories about the beginning of drama in ancient Greece. The one most widelyaccepted today is based on the assumption that drama evolved from ritual. The argument for this view goes as follows. In the beginning, human beings viewed the natural forces of the world, eventhe seasonal changes, as unpredictable, and they sought through various means, to control these unknown and feared powers. Those measures which appeared to bring the desired results were then retained and repeated until they hardened into fixed rituals. Eventually stories arose which explained or veiled the mysteries of the rites. As time passed some rituals were abandoned, but the stories, later called myths, persisted and provided material for art and drama.Those who believe that drama evolved out of ritual also argue that those rites contained the seed of theater because music, dance, masks, and costumes were almost always used. Furthermore, a suitable site had to be provided for performances, and when the entire community did not participate, a clear division was usually made between the ""acting area"" and the ""auditorium."" In addition, there were performers, and since considerable importance was attached to avoiding mistakes in the enactment of rites, religious leaders usually assumed that task. Wearing masks and costumes, they often impersonated other people, animals, or supernatural beings, and mimed the desired effect - success in hunt or battle, the coming rain, the revival of the Sun - as an actor might. Eventually such dramatic representations were separated from religious activities.Another theory traces the theater's origin from the human interest in storytelling. According to this view, tales (about the hunt, war, or other feats) are gradually elaborated, at first through the use of impersonation, action, and dialogue by a narrator and then through the assumption of each of the roles by a different person. A closely related theory traces theater to those dances that are primarily rhythmical and gymnastic or that are imitations of animal movements and sounds.",C1,https://englishteststore.net/test/reading/advanced/test09/index.html,englishteststore,{}
"Staggering tasks confronted the people of the United States, North and South, when the Civil war ended. About a million and a half soldiers from both sides had to be demobilized, readjusted to civilian life, and reabsorbed by the devastated economy. Civil government also had to be put back on a peacetime basis and interference from the military had to be stopped.The desperate plight of the South has eclipsed the fact that reconstruction had to be undertaken also in the North, though less spectacularly. Industries had to adjust to peacetime conditions, factories had to be retooled for civilian needs.Financial problems loomed large in both the North and the South. The national debt had shot up from a modest 65 million in 1861, the year the ear started to nearly 3 billion in 1865, the year the war ended. This was a colossal sum for those days but one that a prudent government could pay. At the same time, war taxes had to be reduced to less burdensome levels.Physical devastation caused by invading armies, chiefly in the South and border states, had to be repaired. This herculean task was ultimately completed, but with discouraging slowness.Other important questions needed answering. What would be the future of the four million black people who were freed from slavery? On what basis were the Southern states to be brought back into the Union?What of the Southern leaders, all of whom were liable to charges of treason? One of these leaders, Jefferson Davis, President of the Southern Confederacy, was the subject of an insulting popular Northern song, ""Hang Jeff Davis from a Sour Apple Tree."" And even children sang it. Davis was temporarily chained in his prison cell during the early days of his two-year imprisonment. But he and the other Southern leaders were finally released, partly because it was unlikely that a jury from Virginia, a Southern Confederate state, would convict them. All the leaders were finally pardoned by President Johnson in 1868 in an effort to help reconstruction efforts proceed with as little bitterness as possible.",C1,https://englishteststore.net/test/reading/advanced/test10/index.html,englishteststore,{}
