source_text,level,link,name,metadata
"On Sunday, Tom gets up at 10 o'clock. Then he reads his newspaper in the kitchen. He has breakfast at 11.30 and then he telephones his mother in Scotland. In the afternoon, at 1.00, Tom plays tennis with his sister and after that, they eat dinner in a restaurant. At 6.00, Tom swims for one hour and then he goes by bike to his brother´s house. They talk and listen to music.  Tom watches television in the evening and drinks a glass of warm milk. He goes to bed at 11.30.",A1,https://www.esl-lounge.com/student/reading/1r1-toms-day.php,esl_lounge,{'title': 'Tom's Day'}
"My working day starts very early. From Monday to Friday I get up at half past three and I have a shower and a cup of coffee. I usually leave the house at ten past four because the car always arrives a few minutes early. I get to the studio at about five o'clock and start work. My programme Good Morning Britain starts at seven o'clock and finishes at nine o'clock. Then I leave the studio at a quarter past ten. After that, I go shopping and visit some friends. I get home at three o'clock. A woman helps me with the housework and the ironing. I read a newspaper and do some work. Then my husband gets home at half past five in the evening and I cook dinner. We stay at home in the evening. We don't go out because I go to bed very early. We usually watch television and then I go to bed at half past eight, I'm usually asleep by nine o'clock. I think my job is very interesting but I don't like getting up very early.",A1,https://www.esl-lounge.com/student/reading/1r2-my-working-day.php,esl_lounge,{'title': 'My Working Day'}
"In January 1990, I was at primary school and in January 2000, I was at university! I left primary school in September 1990 and went to a secondary school five kilometres from my house. I got the bus every day at 7.30am and didn't get home until 5 o'clock in the evening. What a difficult life! My family bought a satellite TV in 1991 and a new video the next year. In 1994, my brother bought a computer and I got a bicycle the next year. I left my school in 1997 but decided not to go to university like most people: instead, I went walking in France alone for four months and then drove around America for three months with my brother. For the first six months of 1998, I got a job in a health food shop and then went to university in October 1998 in Wales.",A1,https://www.esl-lounge.com/student/reading/1r5-the-1990s.php,esl_lounge,{'title': 'The 1990s Reading Comprehension.'}
"My name is Ben and I come from Australia. I am 24 years old and I live in a small town near Sydney called Branton. I don't have a job now, but normally I clean shop windows. I am not married but I live with my very beautiful girlfriend, Maria, in a nice house in Branton. We don't have any children - maybe next year. My girlfriend is an actress, but she isn't very famous. She acts in a small theater in our town. At the weekend, we like to go swimming in a big lake near our house. I normally get up at eight o'clock, but on Thursday I get up at six o'clock because that is the day when I go running in the park. I like living in Branton because it's not too big. There are some historical buildings in the center of the town and near Branton, there is a river where I go fishing sometimes when I want to relax.",A1,https://www.esl-lounge.com/student/reading/1r6-my-name-is-ben.php,esl_lounge,{'title': 'My Name Is Ben'}
"I'm Tomas and I live in Vienna with my parents and my sisters. I'm the youngest in my family. I turned 13 last month. My sisters are Martina, 16, and Betta, 19. Betta's very serious and she always tells me what to do, I guess because she's the oldest. I go to a nice school not too far from our home and I really enjoy it. I have a lot of friends there and I enjoy studying. My best subject is Geography, probably because it's the easiest too! My most difficult subject is Math - I'm terrible and I don't like my teacher. I love playing sports, especially basketball. I'm the tallest player on the school team and I usually play really well. It's the happiest part of my day. My coach says that one day I could play professional basketball! On the weekend I spend a lot of time with my friends Ralf and Kurt. We do everything together and they are the most important people in my life, apart from my family of course!",A1,https://www.esl-lounge.com/student/reading/1r7-tomas-from-vienna.php,esl_lounge,{'title': 'Tomas From Vienna'}
"Every day Tim wakes up at five thirty when his alarm clock rings. He gets up and then goes to the bathroom and has a long, hot shower. After that he makes breakfast for him and his wife, Betty. Tim has coffee and two slices of toast and Betty drinks a cup of tea and eats a bowl of cornflakes. At six o'clock Tim brushes his teeth, always before he gets dressed because it is very important that he doesn't get toothpaste on his clothes - Tim is a train driver and he wears a uniform! Finally, he kisses his wife and baby son and leaves his house in Watford at a quarter after six. Tim starts work at seven o'clock and drives trains on the London Underground. He usually works in the mornings from Monday to Friday, but he sometimes works on the weekends too. At noon he stops work for half an hour to have his lunch. He eats cheese and tomato sandwiches which Betty makes for him, and drinks a bottle of milk. After lunch he works until four o'clock and then he goes home. In the evening he plays with his baby son, Ben, and watches TV with Betty. At ten thirty they all go to bed because they are very tired - and because they get up so early in the morning!",A1,https://www.esl-lounge.com/student/reading/1r8-tims-day.php,esl_lounge,{'title': 'Tim's Day'}
"Mr. Benson is a journalist from Seattle. He is married to Jennifer and they have three children. They have two boys, Peter and Don, and a daughter, Alice. Mr. Benson is 47 years old. He has short black hair and he has a beard. Jennifer has large glasses and she has long blonde hair. Peter is 15. He has short black hair, like his father. He is tall. His brother, Don, has fair hair and is not very tall. He is 13 years old. Their sister, Alice, is 17. She has beautiful long black hair. She has a new car - she is very happy. The Benson family have a Labrador dog, Benji. They have a small apartment in Seattle.",A1,https://www.esl-lounge.com/student/reading/1r14-elementary-the-seattle-journalist-question-and-answer-match.php,esl_lounge,{'title': 'The Seattle Journalist - Question and Answer Match'}
"Dear James This vacation is wonderful. The island is beautiful and the weather is hot and sunny every day. I arrived on Saturday morning and went to the beach immediately. I took a long swim and then sunbathed all afternoon, but I only put on sunscreen with protection factor 5 so I got a sunburn! After that I sat under my umbrella and listened to the CD you bought me for my birthday - thanks again! :-) On Sunday I met some boys from Turkey and we played beach volleyball with some of the local people. They are all very friendly.  Yesterday I went shopping and I bought you a nice present. I hope you like it. See you when I get home. Love Helen xx",A1,https://www.esl-lounge.com/student/reading/1r9-the-postcard.php,esl_lounge,{'title': 'The Postcard'}
"Clarkson is a large town. It has more than fifty thousand people living there. It sits next to a large river, the Clark River. Every day, people take the ferry from North Clarkson to South Clarkson to go to work. Most people live in North Clarkson. There are many trees and the streets are very broad. When the sun shines and the children run and play in the safe streets, North Clarkson is a wonderful place to live. South Clarkson has a lot of shops and factories. People don't live there, but they come in the morning to work. There is also a big stadium where the Clarkson Tigers play. On Sundays, many people go to watch their favorite team. At the weekend, the people from Clarkson enjoy walking along the bank of the Clark River. They also sail small boats on the water and if there is a little wind, they fly kites in the large park. Every year, Clarkson grows in size because a lot of people come to live there. The government builds more houses and the streets get busier. Maybe in the future, if the town continues to grow, it will become a city!",A1,https://www.esl-lounge.com/student/reading/1r11-the-town-of-clarkson-true-or-false.php,esl_lounge,"{'title': 'The Town Of Clarkson, True/False Questions'}"
"Martin had a terrible day yesterday. It was the day of his vacation to Spain but it was a nightmare. He left the house at 10 o'clock in the morning and caught a taxi to the airport. Martin went to the check-in with his luggage. When the man who worked for the airline asked for his passport, Martin became very upset. Where was his passport? Martin realized he didn't have his passport with him. What a disaster! He jumped back into the taxi and told the driver to take him home. The driver drove quickly and Martin arrived back at his house in twenty minutes. He ran into the house and went into his bedroom. He found his passport on the bedside table and left the house again. But the taxi wasn't there! Where was the taxi! Martin jumped up and down angrily. ""I don't believe it. The taxi left!"" he shouted. He ran down the street and looked for another taxi. After a few minutes, Martin found another taxi and told the driver to take him to the airport as quickly as possible. The traffic on the roads was very bad and, unfortunately, Martin's taxi arrived at the airport late. His plane left for Spain at 11.30 and Martin missed it. He was very sad and went to speak to the airline. They promised to get him a seat on an evening flight and Martin went home on another taxi to wait.",A1,https://www.esl-lounge.com/student/reading/1r18-elementary-martins-vacation-question-answer-match.php,esl_lounge,{'title': 'Martin's Vacation - Question/Answer Match'}
