source_text,level,link,name,metadata
"Click here for audio. Or download M4A file.  This is a family. There are five people in this family. The mothers name is Tina. The fathers name is Bob. They have two girls and a baby boy. They live in a house in Minneapolis, Minnesota.",A1,https://www.learnamericanenglishonline.com/Reading/Blue_Level_Reading/This is a family.html,learnamericanenglishonline,"{'audio_link': 'https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/134471576&color=ff5500&inverse=false&auto_play=false&show_user=true', 'title': '1. This is a family.'}"
"This is a young married couple. His name is John. Her name is Jennifer. They live in a house in Alexandria, Minnesota. He works as a carpenter. She works at a diner as a waitress. They are very happy together, and they enjoy their lives.",A1,https://www.learnamericanenglishonline.com/Reading/Blue_Level_Reading/2 This is a young couple.html,learnamericanenglishonline,"{'audio_link': 'https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/134477915&auto_play=false&hide_related=false&visual=true', 'title': '2. This is a young married couple'}"
This is a little boy. His name is Alex. Hes five years old. He has a new puppy. The puppys name is Grover. Grover is just two months old. Alex loves his puppy. He takes care of his puppy and feeds him every day.,A1,https://www.learnamericanenglishonline.com/Reading/Blue_Level_Reading/3 This is a little boy.html,learnamericanenglishonline,"{'audio_link': 'https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/134515245&auto_play=false&hide_related=false&visual=true', 'title': '3. This is a little boy'}"
This is a young girl. Her name is Angela. Shes ten years old. She has a brother and two sisters. Shes in fifth grade and goes to school every day.  Anglea owns a cat. The cats name is Kirby. Kirby likes it when people hold her and pet her. Shes a very nice cat.,A1,https://www.learnamericanenglishonline.com/Reading/Blue_Level_Reading/4 This is a young girl.html,learnamericanenglishonline,"{'audio_link': 'https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/134706450&color=ff5500&auto_play=false&hide_related=false&show_artwork=true', 'title': '4. This is a young girl'}"
"Bob is a businessman. He works for a manufacturer and travels a lot. He doesnt like to be away from his family, but traveling is a necessary part of his job. He wants to get a different job so that he can stay home more often with his wife and kids. Bob has three daughters and two sons. Its a big family.  His wife, Susan, doesnt work outside the home right now because their children are all under the age of eight. They have a small three-bedroom house, and they hope to move into a new, larger house soon.",A1,https://www.learnamericanenglishonline.com/Reading/Blue_Level_Reading/5 Bob is a businessman.html,learnamericanenglishonline,"{'audio_link': 'https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/134709176&color=ff5500&auto_play=false&hide_related=false&show_artwork=true', 'title': '5. Bob is a businessman'}"
"Jacob and Matt are studying English online together. Today theyre working on Lesson Eight in the Blue Level. This lesson is about the present continuous tense. Jacob is using the keyboard and Matt is writing down the answers to the questions that they see on the screen. There are fourteen computers in the classroom, but there are thirty students, so theyre sharing the same computer. They like to work together because theyre friends. Jacob is wearing a blue shirt today. Hes also wearing a watch. Matt is wearing a purple t-shirt. Theyre both wearing jeans. They like to wear casual clothes to school. Its the way most kids dress for school in the United States.",A1,https://www.learnamericanenglishonline.com/Reading/Blue_Level_Reading/6_Jacob_and_Matt_are_studying.html,learnamericanenglishonline,"{'audio_link': 'https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/134710590&color=ff5500&auto_play=false&hide_related=false&show_artwork=true', 'title': '6. Jacob and Matt are studying English online together.'}"
"Tom has a question. He doesnt understand something, so hes asking his teacher a question. Tom doesnt understand how to make the present tense negative. His teacher tells him to use the helping verb ""do"" and the word ""not"" with the main verb. After the teacher explains what to do, Tom understands. Tom is a high school student. He moved to the United States with his family from a small town in Russia. His first language is Russian, but he can speak a little bit of English. Tom is taking an ESL class to improve his English.  His teachers name is Mr. Amundsen. He teaches five different classes during the school day. All of Mr. Amundsens students are from countries outside the United States and they are all learning English as a second language. Most of his students are from Mexico, Russia, Somalia, Cambodia, and Viet Nam.",A1,https://www.learnamericanenglishonline.com/Reading/Blue_Level_Reading/7 Tom has_a_question.html,learnamericanenglishonline,"{'audio_link': 'https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/134711925&color=ff5500&auto_play=false&hide_related=false&show_artwork=true', 'title': '7. Tom has a question.'}"
"Nadine is a good swimmer. She swims on almost every day of the week during the summer. She swims on Monday, Tuesday, Wednesday, Thursday, and Friday. She also swims on the weekend on Saturday and Sunday. During the winter, she doesnt swim every day, but she still swims a lot. Why does she swim so much? She hopes to compete in the Olympics someday. Nadine takes good care of her body. She exercises every day and she eats healthy food. She eats a lot of fruit and vegetables, and she avoids food that is unhealthy. She never eats junk food, but sometimes she has a hamburger and french fries for lunch. She usually makes healthy choices when it comes to eating.",A1,https://www.learnamericanenglishonline.com/Reading/Blue_Level_Reading/8_Nadine_is_a_good_swimmer.html,learnamericanenglishonline,"{'audio_link': 'https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/134714217&color=ff5500&auto_play=false&hide_related=false&show_artwork=true', 'title': '8. Nadine is a good swimmer.'}"
"Jim and Darryl work together. Theyre coworkers. They both work as salespeople for a furniture company in Chicago. Their day begins at 9:30 in the morning and it ends at six or seven in the evening. They like the company that they work for, but business isnt very good these days because of the economy. Jim is married and has two kids. Hes worried that hes not making enough money right now to support his family. Hes trying to save money for the future in case he loses his job Darryl is single. He worries a little about his job, but he doesnt have the same kind of responsibilities that Jim has. On the weekends, Darryl likes to play golf and go out with his friends.",A1,https://www.learnamericanenglishonline.com/Reading/Blue_Level_Reading/9_Jim_and_Darryl_work_together.html,learnamericanenglishonline,"{'audio_link': 'https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/134716589&color=ff5500&auto_play=false&hide_related=false&show_artwork=true', 'title': '9. Jim and Darryl work together.'}"
"Melissa had a dental appointment this morning. Her appointment was at 9:30 a.m. She arrived at the dentists office ten minutes early. When she walked into the office, she checked in with the receptionist. Then she hung up her coat and sat down in the waiting area. After about ten minutes, the dental hygienist called Melissas name, and Melissa followed the hygienist to a small room with a dentists chair. First the hygienist took some x-rays. Then she began to clean Melissas teeth.  When the hygienist finished her work, the dentist came in to look at Melissas teeth. The dentist found a cavity, so he told Melissa to come back again soon for a filling. Before Melissa left the dentists office, she made another appointment to have the cavity fixed.",A1,https://www.learnamericanenglishonline.com/Reading/Blue_Level_Reading/10_a_dental_appointment.html,learnamericanenglishonline,"{'audio_link': 'https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/134718977&color=ff5500&auto_play=false&hide_related=false&show_artwork=true', 'title': '10. Melissa had a dental appointment this morning.'}"
"Mark is babysitting his grandson today. His grandsons name is Peter. Hes four years old. Peters parents both work during the day, so Mark takes care of Peter every Monday, Wednesday, and Friday. On the other days, Tuesday and Thursday, Peter goes to a preschool. Today Mark is going to take Peter to the park. The park isnt very close, but they always walk because Mark likes the exercise. It takes about 20 minutes to get there. When theyre at the park, Mark pushes Peter on the swings and watches him as he goes down the slide. Mark enjoys taking care of Peter. In fact, he always looks forward to it.",A1,https://www.learnamericanenglishonline.com/Reading/Blue_Level_Reading/11_Mark_is_babysitting.html,learnamericanenglishonline,"{'audio_link': 'https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/134898548&color=ff5500&auto_play=false&hide_related=false&show_artwork=true', 'title': '11. Mark is babysitting his grandson today.'}"
"Tigist needs a new place to live. Right now she lives with her brothers family, but she wants to move out. She moved to the United States from Ethiopia seven months ago, and now she thinks shes ready to find her own apartment. Tigist works at an airport coffee shop full time. She makes enough money to pay the rent for a small studio, but she wants a nice apartment so she and her friend, Helen, are going to find a place together. They want a two-bedroom apartment with a big kitchen, hardwood floors, and a short walk to the bus stop. When Tigist lived in Ethiopia, she dreamed of her new life in the United States. She wanted to get a good job, have her own apartment, and make enough money to send some back to her family in Addis Ababa. Now it looks like shes going to achieve her dream!",A1,https://www.learnamericanenglishonline.com/Reading/Blue_Level_Reading/12_Tigist_needs_a_new_place.html,learnamericanenglishonline,"{'audio_link': 'https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/134900143&color=ff5500&auto_play=false&hide_related=false&show_artwork=true', 'title': '12. Tigist needs a new place to live.'}"
"Christmas celebrates the birth of Jesus. His parents were Mary and Joseph. Jesus later became an important religious leader. He taught his followers to live in peace with other people. He lived his life as an example for others to follow. The people who believe in his ideas about God and religion are called Christians. There are many other religions in the world. People who practice Judaism are Jewish. A person who follows Islam is Muslim. People who believe in Buddhism are Buddhists. A person who practices Hinduism is Hindu. All religions teach people to live good lives, honor the family, help the poor, and live in peace with ones neighbors.",A1,https://www.learnamericanenglishonline.com/Reading/Blue_Level_Reading/13_Christmas.html,learnamericanenglishonline,"{'audio_link': 'https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/135740125&color=ff5500&auto_play=false&hide_related=false&show_artwork=true', 'title': '13. Christmas celebrates the birth of Jesus.'}"
"Ming is talking on her cell phone. Her friend, Lisa, just called: ""Hello?"" said Ming. ""Hi Ming,"" said Lisa. Lisa is someone that Ming knows from school. ""Lisa! Whats going on? How did your last race go?"" asked Ming. ""I came in second, but thats okay. Hey, I need Andreas phone number. Do you have it?"" asked Lisa. ""Sure."" Ming stopped to take a look at the list of contacts on her phone. ""Its 612-555-3462. Do you want me to text you her phone number?"" ""Yeah, that would be great."" said Lisa. ""Listen, Ive got to go. Call me later, okay?"" ""Okay, I will,"" said Ming. ""Okay, bye"", said Lisa. ""Bye,"" said Ming.",A1,https://www.learnamericanenglishonline.com/Reading/Blue_Level_Reading/14_Ming_is_talking_on_her_cellphone.html,learnamericanenglishonline,"{'audio_link': 'https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/135746740&color=ff5500&auto_play=false&hide_related=false&show_artwork=true', 'title': '14. Ming is talking on her cell phone.'}"
"The weather today is very cold. Its just a few degrees above zero right now, and its probably going to snow. The sky is gray and cloudy. Yesterdays weather was like todays. It was cold and cloudy, and then it snowed in the afternoon. In the evening, it got really, really cold. After midnight, the temperature was ten degrees below zero.  The winter in Minnesota is long and hard. Usually, the snow starts to fall in November and it stops falling in March. In April it melts. On average, there are five months of winter weather.  On days when it snows, the sky is dark and gray, but on days when the temperature goes below zero, its very sunny and the sky is clear and blue. Isnt that interesting?",A1,https://www.learnamericanenglishonline.com/Reading/Blue_Level_Reading/15_The_weather_today_is__very_cold.html,learnamericanenglishonline,"{'audio_link': 'https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/135748187&color=ff5500&auto_play=false&hide_related=false&show_artwork=true', 'title': '15. The weather today is very cold'}"
