source_text,level,link,name,metadata
"First, I wake up. Then, I get dressed. I walk to school. I do not ride a bike. I do not ride the bus. I like to go to school. It rains. I do not like rain. I eat lunch. I eat a sandwich and an apple. I play outside. I like to play. I read a book. I like to read books. I walk home. I do not like walking home. My mother cooks soup for dinner. The soup is hot. Then, I go to bed. I do not like to go to bed.",A1,https://lingua.com/english/reading/my-day/,lingua,{'title': 'My day'}
"I live in a house near the mountains. I have two brothers and one sister, and I was born last. My father teaches mathematics, and my mother is a nurse at a big hospital. My brothers are very smart and work hard in school. My sister is a nervous girl, but she is very kind. My grandmother also lives with us. She came from Italy when I was two years old. She has grown old, but she is still very strong. She cooks the best food!   My family is very important to me. We do lots of things together. My brothers and I like to go on long walks in the mountains. My sister likes to cook with my grandmother. On the weekends we all play board games together. We laugh and always have a good time. I love my family very much.",A1,https://lingua.com/english/reading/wonderful-family/,lingua,{'title': 'My Wonderful Family'}
"Hi! Nice to meet you! My name is John Smith. I am 19 and a student in college. I go to college in New York. My favorite courses are Geometry, French, and History. English is my hardest course. My professors are very friendly and smart. Its my second year in college now. I love it! I live in a big house on Ivy Street. Its near the college campus. I share the house with three other students. Their names are Bill, Tony, and Paul. We help each other with homework. On the weekend, we play football together. I have a younger brother. He just started high school. He is 14 and lives with my parents. They live on Mulberry Street in Boston. Sometimes they visit me in New York. I am happy when they visit. My Mom always brings me sweets and candy when they come. I really miss them, too!",A1,https://lingua.com/english/reading/john/,lingua,{'title': 'My name is John'}
Mr. and Mrs. Smith have one son and one daughter. The son's name is John. The daughter's name is Sarah. The Smiths live in a house. They have a living room. They watch TV in the living room. The father cooks food in the kitchen. They eat in the dining room. The house has two bedrooms. They sleep in the bedrooms. They keep their clothes in the closet. There is one bathroom. They brush their teeth in the bathroom. The house has a garden. John and Sarah play in the garden. They have a dog. John and Sarah like to play with the dog.,A1,https://lingua.com/english/reading/house/,lingua,{'title': 'The House'}
"Every year we go to Florida. We like to go to the beach. My favorite beach is called Emerson Beach. It is very long, with soft sand and palm trees. It is very beautiful. I like to make sandcastles and watch the sailboats go by. Sometimes there are dolphins and whales in the water! Every morning we look for shells in the sand. I found fifteen big shells last year. I put them in a special place in my room. This year I want to learn to surf. It is hard to surf, but so much fun! My sister is a good surfer. She says that she can teach me. I hope I can do it!",A1,https://lingua.com/english/reading/vacation/,lingua,{'title': 'Our Vacation'}
"Jack was hungry. He walked to the kitchen. He got out some eggs. He took out some oil. He placed a skillet on the stove. Next, he turned on the heat. He poured the oil into the skillet. He cracked the eggs into a bowl. He stirred the eggs. Then, he poured them into the hot skillet. He waited while the eggs cooked. They cooked for two minutes. He heard them cooking. They popped in the oil. Next, Jack put the eggs on a plate. He placed the plate on the dining room table. Jack loved looking at his eggs. They looked pretty on the white plate. He sat down in the large wooden chair. He thought about the day ahead. He ate the eggs with a spoon. They were good. He washed the plate with dishwashing soap. Then, he washed the pan. He got a sponge damp. Finally, he wiped down the table. Next, Jack watched TV.",A1,https://lingua.com/english/reading/preparing-food/,lingua,{'title': 'Preparing food'}
"There are seven days of the week, or uniquely named 24-hour periods designed to provide scheduling context and make time more easily measureable. Each of these days is identifiable by specific plans, moods, and tones. Monday is viewed by many to be the ""worst"" day of the week, as it marks the return to work following the weekend, when most full-time employees are given two days off. Most students attend school in the morning and return home in the afternoon (usually from about eight until three or seven until two), and most workers go to work in the morning and return home in the evening (usually from nine to five or eight to four). Tuesday is the second day of the week, and is in many ways similar to Monday. Not a whole lot changes, schedule-wise, between Tuesday and Monday; most individuals go to school or work and return home to watch television, play video games, make plans with friends, spend time with family, read, or engage in a similar leisure-related activity. Wednesday is the third day of the week, and serves as the ""middle"" of the work week; some individuals refer to Wednesday as ""hump day,"" as once its workday is complete, employees will have passed the work-week ""hump,"" and will be on the downturn, as only two days on the job will remain in the week. Thursday is the fourth day of the week, and is viewed favorably by many, as it's rather close to the end of the work week. Friday is the fifth day of the week, and marks the end of the workweek and school-week for the vast majority of employees and students. By Friday afternoon/evening, most students/workers cannot wait to leave and go home, as they won't have to report back to school/work until Monday. Saturday is perhaps the most highly regarded day of the week. Because Sunday follows it (and there is presumably no work or school to attend, for most individuals), everyone is free to stay out (or awake) until late at night, having fun with plans or other leisure-related activities. To be sure, Saturday is generally thought of as a day to partake in hobbies that couldn't otherwise be enjoyed during the regular week. Sunday is the final day of the week, and is used by most as a day of rest. Fewer late-night plans are made on Sundays, compared to Saturdays, as most individuals have to wake up for work or school on Monday morning.",A2,https://lingua.com/english/reading/days/,lingua,{'title': 'Days of the week'}
"Most individuals don't think about numbers, or numerical representations of quantity, but they play a major part in everyday life. To be sure, numbers determine the time individuals will wake up in the morning, how much money employees earn per hour, what day of the year it is, and much, much more. Additionally, numbers impact everyday living on a much smaller scale. In the grocery store, for instance, numbers determine products' prices, the amount of a product available for purchase, how much money will need to be paid for products, and a whole lot else. To understand larger (and more intimidating numbers), interested persons first need to understand basic numbers, or numbers from one to ten, as they comprise each and every advanced number, or a multi-digit number that indicates a larger amount/quantity. The basic numbers are as follows: One (1) Example: ""He purchased one watermelon from the grocery store."" Two (2) Example: ""She bought two types of bread from the store."" Three (3) Example: ""He decided to get three bags of onions when he went shopping."" Four (4) Example: ""In preparation for the party, Janice bought four cartons of ice cream at the store."" Five (5) Example: ""Joe picked up five boxes of cereal from the breakfast aisle."" Six (6) Example: ""A pound of beef costs a lot of money at my favorite grocery store."" Seven (7) Example: ""Seven of the 10 aisles at my local grocery store contain pasta."" Eight (8) Example: ""I bought eight cookies for the price of four at the store."" Nine (9) Example: ""There were only nine loafs of bread left at the grocery store."" Ten (10) Example: ""Ten pineapples sure is a lot, don't you think?"" After ten, eleven (11), twelve (12), thirteen (13), fourteen (14), fifteen (15), sixteen (16), seventeen (17), eighteen (18), nineteen (19), and twenty (20) follow. These numbers are seen less in grocery stores, as most prices are 10 dollars or less; it is however worth knowing these numbers, generally and, in terms of grocery shopping, for when the bill must be paid. After twenty, numbers such as twenty-five (25), fifty (50), seventy-five (75), and one hundred (100) follow. So long as one knows the core number, or the number situated in the tens or hundreds position that determines the general amount, understanding these more complicated numbers won't be difficult. For example thirty-three (33) is simply ""thirty"" plus three; sixty-seven is ""sixty"" plus seven; and sixty-nine is simply ""sixty"" plus nine.",A2,https://lingua.com/english/reading/numbers/,lingua,{'title': 'Numbers'}
"My family lives in a small house. Its simple but pretty. It has a large garden. I like to work in the garden but my sister hates to work in the garden. She prefers to read. She reads in the morning, in the afternoon and at night.  I give all of the vegetables to mom and dad. They like to cook in our small kitchen. I eat any vegetable but my sister eats only a few.   My family always eats breakfast and dinner together. We talk. We laugh.  Then my sister washes the dishes.    At night dad likes to listen to music. Mom works on the computer. I watch television. And my sister reads.   Soon we go to bed. My parents go to bed late but my sister and I go to bed early. Im ready to go to sleep but my sister wants to keep reading.",A2,https://lingua.com/english/reading/my-family/,lingua,{'title': 'My family at home'}
"Lucas goes to school every day of the week. He has many subjects to go to each school day: English, art, science, mathematics, gym, and history. His mother packs a big backpack full of books and lunch for Lucas. His first class is English, and he likes that teacher very much. His English teacher says that he is a good pupil, which Lucas knows means that she thinks he is a good student. His next class is art. He draws on paper with crayons and pencils and sometimes uses a ruler. Lucas likes art. It is his favorite class. His third class is science. This class is very hard for Lucas to figure out, but he gets to work with his classmates a lot, which he likes to do. His friend, Kyle, works with Lucas in science class, and they have fun. Then Lucas gets his break for lunch. He sits with Kyle while he eats. The principal, or the headmaster as some call him, likes to walk around and talk to students during lunch to check that they are all behaving. The next class is mathematics, which most of the students just call math. Kyle has trouble getting a good grade in mathematics, but the teacher is very nice and helpful. His fourth class is gym. It is just exercising. History is his last class of the day Lucas has a hard time staying awake. Many lessons are boring, and he is very tired after doing gym.",A2,https://lingua.com/english/reading/at-school/,lingua,{'title': 'At school'}
