Text,Tag,Markers
Universities Are Too Expensive to Survive 2020,yes,1000_5_1_20_meaningful_classif
"Politicians are fixated on GDP, because they know it is important to voters.",yes,1000_5_1_20_meaningful_classif
The first chapter alone is an incredible display of environmental storytelling and the small ways developers can world build without dialogue.,yes,1000_5_1_20_meaningful_classif
That could be working diligently at your new job so that one day you earn that promotion you've been dreaming of.,yes,1000_5_1_20_meaningful_classif
Do you have community-building goals you'd like to see covered in Better Humans?I didn't want to simply have a nice house in a bad neighborhoodCreate,no,1000_5_1_20_meaningful_classif
"My FAMU National Champion Football Coach Rudy Hubbard & Pastor Virgil Robinson of East Palo Alto California, both taught me that success is a committed mindset, personal discipline to execute and reach the goal.",yes,1000_5_1_20_meaningful_classif
"I'm not here to tell you that you need to give up Instagram or that it's an evil, terrible thing that will eat away at your humanity and destroy us all.",yes,1000_5_1_20_meaningful_classif
"Traumatic memories may sit there in the darkest parts of your mind and eventually rise up to the surface, at an ill-opportune time.",yes,1000_5_1_20_meaningful_classif
"In the early stages of response to COVID19, there were worrying signs that the European Green Deal looks set to be delayed or diluted (Politico, Euractiv) and there are fears that the EU's 'New Industrial Strategy' announced just a month ago now lacks the scale of ambition needed for the post-COVID renewal (Bloomberg, Glass for Europe).Even",no,1000_5_1_20_meaningful_classif
"I'm always showing him how much I save and how much the man takes out in taxes and Social Security, which I'll never see unless I reach eighty.",yes,1000_5_1_20_meaningful_classif
"In a word, Frank was the consummate professional. '",yes,1000_5_1_20_meaningful_classif
"I was able to use Roll20 to pipe in music during the opening sequence where the characters are preparing to ship out to training, using an mp3 of the Soviet National Anthem to set the mood, but it came in garbled on some people's ends and taxed an already struggling wifi system further.",yes,1000_5_1_20_meaningful_classif
"Still, for most travelers with a disability navigating a foreign country presents additional layers of challenges.",yes,1000_5_1_20_meaningful_classif
The whiner?Employees often keep quiet about an issue often because they're worried about being labeled a 'complainer' or fear losing credibility.,no,1000_5_1_20_meaningful_classif
He goes on to say:Government as servant of capital is not unique to the U.S. or the 21st century.,no,1000_5_1_20_meaningful_classif
"It gives the kind of information that is really useful in many applications, but people don't typically calculate them directly, rather looking at the global summary plot and speculating about how the importance would differ in different groups.",yes,1000_5_1_20_meaningful_classif
It will never be deemed okay by the multitudes of people who think athletic activism is an inconvenience to the sport in spite of it arguably making sports more genuine and sincere.,yes,1000_5_1_20_meaningful_classif
"Science is a weapon in service of human progress and war, intended to benefit one group or specific groups at the expense of others.",yes,1000_5_1_20_meaningful_classif
The headline clarifies that she's helping a specific group of people - those struggling with depression or anxiety.,yes,1000_5_1_20_meaningful_classif
You don't have to waste so many hours doing the same.,yes,1000_5_1_20_meaningful_classif
"Remember, a Zen mind is a beginner's mind.",yes,1000_5_1_20_meaningful_classif
it's hard to get their attention by simply tweeting alone.,yes,1000_5_1_20_meaningful_classif
The A/B test is underway and the Marketing Department is already asking you to analyse the data.,yes,1000_5_1_20_meaningful_classif
"we are brave enough to drop the camouflage of conformity, we appear as we truly are - uniquely ourselves.",no,1000_5_1_20_meaningful_classif
Untying the Google Knot (It's not me.,no,1000_5_1_20_meaningful_classif
Part of why obsessing over someone new hurts so much is that you feel like your world has been destroyed when things do end.,yes,1000_5_1_20_meaningful_classif
It's a world full of data.,yes,1000_5_1_20_meaningful_classif
The capacity to adapt gradually to their own environment can lead to a disaster if they are not responding to the right variables.,yes,1000_5_1_20_meaningful_classif
"But while people are understandably worried about putting food on the table and keeping a roof over their heads, left-leaning politicians and pundits are making a case for additional expansion of the social welfare net.",yes,1000_5_1_20_meaningful_classif
"We got a profit, and fans got a hassle-free first-day show.",yes,1000_5_1_20_meaningful_classif
They're just too difficult to compare because they use different pricing methods.,yes,1000_5_1_20_meaningful_classif
"Given that almost any product can be purchased on Amazon.com, if it's available on Amazon, you can possibly sell it to your own dropshipping company as well.",yes,1000_5_1_20_meaningful_classif
Hero Forge is primarily a service to create and print custom miniatures and dice for physical table-top games.,yes,1000_5_1_20_meaningful_classif
"Surprisingly many of the phrases we use regularly and collectively to describe learning, or changes in the material of the brain, directly implicate the specific, simple qualities heat, fluidity and disorder in the process.",yes,1000_5_1_20_meaningful_classif
- is this a napkin sketch or a detailed hi-fi prototype?,no,1000_5_1_20_meaningful_classif
"I have exceeded that goal, and there were no short-cuts that I can share to make the journey easier for the next person.",yes,1000_5_1_20_meaningful_classif
"What about smacking your device to knock some sense back into it?No, you restart it.",yes,1000_5_1_20_meaningful_classif
Yet there is a big difference between logistics and organizational change.,yes,1000_5_1_20_meaningful_classif
"I'm most comfortable talking with about private things in my life, are members of an old internet forum that's been around in some form or another since the late '90s.",yes,1000_5_1_20_meaningful_classif
"If you haven't done so already, you should proactively update your board about any changes you need to make to your operating plan, cost structure, capital needs, product roadmap, etc.",yes,1000_5_1_20_meaningful_classif
"Now just to be clear, I know Di because she and my husband studied mathematics at Adelaide university",yes,1000_5_1_20_meaningful_classif
"it wasn't for my fear of not being liked, I would not have learned to be more selective of the company I keep today.",yes,1000_5_1_20_meaningful_classif
Outcomes are easy to understand if you put yourself in your customers shoes: 'what am I trying to achieve today?',yes,1000_5_1_20_meaningful_classif
so quickly once I first started.,no,1000_5_1_20_meaningful_classif
Validation of these biomarkers in a blinded test of another 18 men proved that these had a strong ability (of around 90 percent) to predict this susceptibility.,yes,1000_5_1_20_meaningful_classif
The CDC stopped publishing anything resembling a complete database of daily test results on February 29.,yes,1000_5_1_20_meaningful_classif
"Though Patton is listed as inventor on all of safeXai's patents filed with the U.S. Patent and Trademark Office, including one published in January, Patton does not own them.",no,1000_5_1_20_meaningful_classif
"To me, that says that we weren't true friends.",yes,1000_5_1_20_meaningful_classif
These are likely to be questions that we all want answered.,yes,1000_5_1_20_meaningful_classif
It's a much better experience not to worry about the trolls and haters.,yes,1000_5_1_20_meaningful_classif
"It's this frame with three buttons: close, minimise and maximise.",yes,1000_5_1_20_meaningful_classif
"Some fuzzy 'six degrees of Kevin Bacon' calculation leads us to reason that if every paid member shared their account with one additional person, there could be 120 million users with Netflix.",yes,1000_5_1_20_meaningful_classif
Da Vinci cultivated the concept of uncertainty in all of his disciplines.,yes,1000_5_1_20_meaningful_classif
(ex: avatars in dating simulators are usually made more attractive than in other types of games)• Form social relationships in games• Project their identity into a virtual environment• Explore their own identity• Play with different forms of identity,no,1000_5_1_20_meaningful_classif
"Her breath tastes of peppermint, a hint of beer behind it, cigarette smoke lingers in her black hair.",yes,1000_5_1_20_meaningful_classif
"An entire generation no longer looked at it back with nostalgia, but with the feeling that it was a terrain that had not been explored enough.",yes,1000_5_1_20_meaningful_classif
That's why I looked for a different resource that I had access to all the time (maybe too much access).I turned around to Instagram to interview my target audience.,yes,1000_5_1_20_meaningful_classif
"Other schools are going to try a day at school, day at home approach.",yes,1000_5_1_20_meaningful_classif
"I knew I needed to make a change in not only how I ate, but also how I treated my body in general.",yes,1000_5_1_20_meaningful_classif
"Of the eighty million people in Iran only five hundred of them are summoned by the government and around fifty of them are paid to do some things they probably don't think highly of themselves, but it's most likely their only source of income.",yes,1000_5_1_20_meaningful_classif
"Work longer hours, write more stories, and pitch almost every second I'm not writing.",yes,1000_5_1_20_meaningful_classif
