sent,type
These are my most comfortable trousers.,"['a1_to_be_present_is_am_are', 'a1_superlative_long']"
The runt of the litter is the smallest.,"['a1_superlative_short', 'a1_to_be_present_is_am_are']"
How much water is there in the bottle?,"['a1_there_is_am_are', 'a1_special_questions']"
Were there two police officers at the station?,['a1_there_was_were']
"If we don't act, there will be a war.","['a1_there_will_be', 'a1_present_simple_reg_act', 'a2_first_conditional_if_m']"
Some people want her to leave and I don't want that.,"['a1_want_would_like_to', 'a1_present_simple_reg_act']"
"A competing company decides to make an up-front investment and build a new factory in a distant land, high in the mountains where residents who choose to live there have less economic opportunity.","['a1_present_simple_reg_act', 'a1_comparative_exept', 'a2_ing_non_finite_forms', 'a2_relative_clause_others', 'a2_relative_clause_who_which_that', 'a1_present_simple_3d_pers']"
"This car is certainly better, but it's much more expensive.","['a1_comparative_exept', 'a1_to_be_present_is_am_are', 'a1_comparative_long', 'a2_much_many_a_lot']"
I'm shorter than my brother.,"['a1_to_be_present_is_am_are', 'a1_comparative_short']"
This is my parents' house.,"['a1_possessive_s_plurar', 'a1_to_be_present_is_am_are']"
How did you manage to enter the university?,"['a1_special_questions', 'a1_past_simple_reg', 'a2_ing_non_finite_forms']"
He's my best student.,"['a1_to_be_present_is_am_are', 'a1_superlative_exept']"
It was the most interesting film we'd seen this year.,"['a2_past_perfect_basic', 'a1_superlative_long', 'a1_to_be_past_was_were']"
I am the shortest person in my family.,"['a1_to_be_present_is_am_are', 'a1_superlative_short']"
How many horror movies are there in your collection?,"['a1_special_questions', 'a1_there_is_am_are']"
Were there many things to do?,"['a1_there_was_were', 'a2_ing_non_finite_forms']"
He won't be a student,['a1_to_be_future_will_be']
"You have to do... whatever I want, whenever I want.","['a1_want_would_like_to', 'a2_have_to', 'a1_present_simple_reg_act']"
My mother's cooking is worse than your mother's cooking.,"['a1_possesive_s_sing', 'a1_comparative_exept', 'a1_to_be_present_is_am_are']"
The manager wants to be more popular than the previous one.,"['a1_present_simple_3d_pers', 'a2_to_non_finite_forms', 'a1_comparative_long']"
I've got a terrible pain in my back.,['a1_have_has_got']
Children's clothes are very expensive.,"['a1_possessive_s_plurar', 'a1_to_be_present_is_am_are']"
What did you order in the restaurant yesterday?,"['a1_special_questions', 'a1_past_simple_reg']"
This is the worst weather in December since records began!,"['a1_superlative_exept', 'a1_to_be_present_is_am_are', 'a1_past_simple_irreg']"
This is the worst day of my life!,"['a1_to_be_present_is_am_are', 'a1_superlative_exept']"
"The most exciting phrase to hear in science, the one that heralds new discoveries, is not Eureka! but That's funny.","['a1_superlative_long', 'a2_to_non_finite_forms', 'a1_present_simple_3d_pers', 'a1_to_be_present_is_am_are']"
Grapefruit is the healthiest fruit.,"['a1_to_be_present_is_am_are', 'a1_superlative_short']"
There aren't any people at the party.,['a1_there_is_am_are']
Was there any water left?,['a1_there_was_were']
The annex will be part of the final report that will be completed after the session.,"['a1_to_be_future_will_be', 'a2_passive_will']"
Everybody really wants this Andy guy.,"['a1_present_simple_3d_pers', 'a1_want_would_like_to']"
"The case is this: my father's health is growing noticeably worse, he cannot stand any contradiction and is becoming irritable.","['a1_to_be_present_is_am_are', 'a1_present_continuous_act_rn', 'a1_possesive_s_sing', 'a1_comparative_exept']"
Jane is smarter than her sister.,"['a1_comparative_short', 'a1_to_be_present_is_am_are']"
Have you got a drill?,['a1_have_has_got']
The chickens' eggs were taken by the farmer early in the morning.,"['a1_possessive_s_plurar', 'a2_passive_past_simple']"
What trees grow in your garden?,"['a1_special_questions', 'a1_present_simple_reg_act']"
The best defense against the atom bomb is not to be there when it goes off.,"['a1_superlative_exept', 'a1_to_be_present_is_am_are', 'a1_present_simple_3d_pers']"
It is turning out to be the most beautiful day of my life.,"['a1_present_continuous_act_rn', 'a1_superlative_exept', 'a2_to_non_finite_forms']"
Sarah is the cleverest student in our year.,"['a1_to_be_present_is_am_are', 'a1_superlative_short']"
There are a lot of rules at the airport.,"['a1_there_is_am_are', 'a2_much_many_a_lot']"
"Don't do it again, Dexter, or there will be consequences.","['a2_imperatives', 'a1_there_will_be']"
Regional preparedness will be increased and partnerships in emergencies will be further strengthened.,['a2_passive_will']
And he wants everybody to lay low.,"['a1_want_would_like_to', 'a2_to_non_finite_forms']"
Women are more intelligent than men.,"['a1_comparative_long', 'a1_to_be_present_is_am_are']"
They are looking happier.,"['a1_present_continuous_act_rn', 'a1_comparative_short']"
She's got a delightful voice.,['a1_have_has_got']
The kittens' toys are everywhere.,"['a1_possessive_s_plurar', 'a1_to_be_present_is_am_are']"
Who is your favourite actor?,"['a1_special_questions', 'a1_to_be_present_is_am_are']"
The furthest point from land is known as Point Nemo.,"['a1_superlative_exept', 'a2_passive_present_simple']"
This is the least popular park in Toluca.,"['a1_to_be_present_is_am_are', 'a1_superlative_exept']"
That was the fastest journey I've ever been on.,"['a1_to_be_past_was_were', 'a1_superlative_short', 'a2_present_perfect']"
There was a cat in the house.,['a1_there_was_were']
"Of course, there will be events which could knock us off course.","['a1_there_will_be', 'a2_relative_clause_who_which_that', 'a2_could', 'a2_zero_non_finite_forms']"
Funding will be the major challenge in the years ahead and the timely allotment of monies will be critical to effective action.,"['a1_to_be_future_will_be', 'a2_ing_non_finite_forms']"
"I just wanted someone, He would like.",['a1_past_simple_reg']
This apple is better than that one.,"['a1_comparative_exept', 'a1_to_be_present_is_am_are']"
Is French more difficult than English?,"['a1_comparative_long', 'a1_to_be_present_is_am_are']"
The lights were softer.,"['a1_comparative_short', 'a1_to_be_past_was_were']"
I've got swimming practice at seven.,['a1_have_has_got']
The tables' legs were all wobbly and needed repair.,"['a1_possessive_s_plurar', 'a1_to_be_past_was_were']"
What kind of city is St. Petersburg?,"['a1_special_questions', 'a1_to_be_present_is_am_are']"
Janet is the best at math.,"['a1_to_be_present_is_am_are', 'a1_superlative_exept']"
You have the most beautiful eyes in the family!,"['a1_present_simple_reg_act', 'a1_superlative_long']"
There are two cats on the couch.,['a1_there_is_am_are']
There was a grocery store right there.,['a1_there_was_were']
There will be wars; there will be depressions; there will be natural disasters.,['a1_there_will_be']
"These products will be widely disseminated and will be available electronically, via the Internet.","['a1_there_will_be', 'a2_passive_will']"
He wouldn't like the answer.,['a1_want_would_like_to']
But she knows better than any one else what value speech has had for her.,"['a1_present_simple_3d_pers', 'a1_comparative_exept', 'a2_present_perfect']"
This dictionary is more useful than the one we had before.,"['a1_comparative_long', 'a1_past_simple_irreg', 'a1_be_have_do_in_the_past', 'a1_to_be_present_is_am_are']"
He's shorter than me.,"['a1_comparative_short', 'a1_to_be_present_is_am_are']"
I have got a new car.,['a1_have_has_got']
The students' success was largely attributable to their hard work and dedication.,"['a1_possessive_s_plurar', 'a1_to_be_past_was_were']"
When will we go to the cinema?,"['a1_special_questions', 'a1_future_simple']"
