sent,type
Conservatism will prevent my children and my grandchildren from fulfilling their destiny as Americans.,"['a1_future_simple', 'a2_ing_non_finite_forms']"
"I'm already living it, said Karl Brauer, senior analyst with Kelley Blue Book, an automotive research company.","['a2_say_reported_verb', 'a1_present_continuous_act_rn']"
Probably I do better without the support I'm talking about because that's why I'm here in the first place.,"['a1_present_simple_reg_act', 'a1_present_continuous_act_rn', 'a1_to_be_present_is_am_are']"
"Daniel did not take this fact lightly, in fact he completely lost it.",['a1_past_simple_irreg']
After taking a glimpse at the title I first thought that it was yet another story about catching a cheating wife.,"['a2_ing_non_finite_forms', 'a1_past_simple_irreg', 'a1_to_be_past_was_were']"
They have even said that those like ISIS can no longer even be considered Muslims.,"['a2_present_perfect', 'a1_can', 'a2_passive_modal_verbs']"
I was wondering what you think makes a person tolerable for you?,"['a2_past_continuous', 'a1_present_simple_reg_act', 'a1_present_simple_3d_pers', 'a1_special_questions']"
"After asking Harry furiously if he knew the man, Aunt Petunia had rushed them out of the shop without buying anything.","['a2_ing_non_finite_forms', 'a2_pr_reported_speech', 'a2_past_perfect_basic']"
"Never mind that, do you think he remembers what You-Know-Who looks like?","['a1_present_simple_reg_act', 'a1_present_simple_3d_pers']"
Malfoy told Madam Pomfrey he wanted to borrow one of my books so he could come and have a good laugh at me.,"['a2_tell_reported_verb', 'a2_to_non_finite_forms', 'a2_could', 'a1_past_simple_reg']"
"They were a witch and wizard, if that's what you mean.","['a1_to_be_past_was_were', 'a1_to_be_present_is_am_are', 'a1_present_simple_reg_act']"
I know because I tried to become omnipresent and it led to burnout and little results.,"['a1_past_simple_reg', 'a2_to_non_finite_forms', 'a1_past_simple_irreg']"
I guess this was why Kabir would have me work at the store from time to time.,"['a1_to_be_past_was_were', 'a2_zero_non_finite_forms']"
Everyone at the party expressed admiration for his courage and promised to keep his secret.,"['a1_past_simple_reg', 'a2_to_non_finite_forms']"
"But if we are stressed, fatigued, or otherwise in a sub-optimal state, our body's response gets dampened.","['a2_zero_conditional_if_m', 'a1_to_be_present_is_am_are', 'a2_adjectives_ed', 'a1_possesive_s_sing', 'a1_present_simple_3d_pers']"
I am known as Captain Organic and that's a philosophical position as well as an aesthetic position.,"['a2_passive_present_simple', 'a1_to_be_present_is_am_are']"
"In January 2000, the price was 10,000 dollars, or 27 dollars a day.",['a1_to_be_past_was_were']
A passage in the filing says: The sponsor is Donald J Trump.,"['a2_say_reported_verb', 'a1_to_be_present_is_am_are']"
"In their announcement, I heard the buzzwords diversity and inclusion several times, and those trend words put me on edge.",['a1_past_simple_irreg']
"It comes naturally out of the laws of physics, he said.","['a1_present_simple_3d_pers', 'a2_say_reported_verb']"
"I am now alone, with no information, trying to keep Serena away from the classroom.","['a1_to_be_present_is_am_are', 'a2_to_non_finite_forms']"
"Being removed doesn't make the content bad, it just makes the content in the wrong place.","['a2_ing_non_finite_forms', 'a1_possesive_s_sing']"
I was just a dumb kid that was embarrassed about dropping a whole roll in the toilet.,"['a1_to_be_past_was_were', 'a2_adjectives_ed', 'a2_ing_non_finite_forms', 'a2_relative_clause_who_which_that']"
When we were at the restaurant the other day my father fingered the waitress and she came.,"['a1_to_be_past_was_were', 'a1_past_simple_reg', 'a1_past_simple_irreg']"
"They tugged and heaved at the door, but it wouldn't budge, not even when Hermione tried her Alohomora Charm.",['a1_past_simple_reg']
"You're right, Harry, said Hermione in a small voice.","['a2_say_reported_verb', 'a1_to_be_present_is_am_are']"
"It is a beautiful and terrible thing, and should therefore be treated with great caution.","['a1_to_be_present_is_am_are', 'a2_should', 'a2_passive_modal_verbs']"
Dumbledore's silver hair was the only thing in the whole hall that shone as brightly as the ghosts.,"['a1_to_be_past_was_were', 'a1_past_simple_irreg']"
"After talking about it for a bit, they decided to walk to the government shelter nearby.","['a2_ing_non_finite_forms', 'a1_past_simple_reg']"
I'd not known much about the Basque Country before this trip.,['a2_past_perfect_basic']
"Believe me, my man, I have no problem attracting exactly what I need exactly when I need it.","['a2_imperatives', 'a1_present_simple_reg_act', 'a2_ing_non_finite_forms']"
"A month later, Brophy's entire Hermit Series sold out the night of the opening.","['a1_possesive_s_sing', 'a1_past_simple_irreg']"
From the ease with which you swept away obstacles that no one knew could even be budged.,"['a1_past_simple_irreg', 'a2_passive_modal_verbs', 'a2_relative_clause_who_which_that']"
I know that's the stereotype; I've never met one of them.,"['a1_to_be_present_is_am_are', 'a2_present_perfect']"
"You know, Brazilian music scene isn't just answering the major labels.","['a1_present_continuous_act_rn', 'a1_present_simple_reg_act']"
