a1_comparative_exept,a1_comparative_long,a1_comparative_short,a1_have_has_got,a1_possessive_s_plurar,a1_special_questions,a1_superlative_exept,a1_superlative_long,a1_superlative_short,a1_there_is_am_are,a1_there_was_were,a1_there_will_be,a1_to_be_future_will_be,a1_want_would_like_to
This apple is better than that one.,Women are more intelligent than men.,Jane is smarter than her sister.,I’ve got a terrible pain in my back.,This is my parents' house.,Where do you go?,This is the best chocolate cake I've ever tasted.,She is the most polite person I have ever met.,Jane is the smartest in her class.,There is a cat in the box.,There were 3 strangers outside the office.,There’ll be somebody meeting you at the airport.,They won't be married,I want every one collected without exception.
He thinks you are better than us.,Health is more important than money.,London is bigger than Santiago.,They haven’t got a car.,Those are ladies' shoes.,Where did Anabel meet your husband? , Will is the best scientist in the class.,She's the most beautiful girl I've ever seen.,It is the oldest building in the village.,There are two cats on the couch.,There was a cat in the house.,Will there be your friends there?,will you be a doctor?,Boys want retribution for the courthouse.
"""Yes. I couldn't find a better friend than Alex, could I?"" she said.",I want to have a more powerful computer.,I want a faster car.,She’s got two cats and a dog.,These are men's shoes.,Where have you been today?,Today is the worst day I've had in a long time.,John and Lisa are the most intelligent students here.,"Of all the boys, Paul runs the fastest.",There is one table in the classroom.,There was money in the safe.,"Don't do it again, Dexter, or there will be consequences.",He won't be a student,Some people want her to leave and I don't want that.
But she knows better than any one else what value speech has had for her.,Is French more difficult than English?,They are looking happier.,Have you got a drill?,Children's clothes are very expensive.,What kind of fruit do you like best? ,This is the least expensive sweater in the store.,I'm the most productive early in the morning.,"In the music show, the horns were the loudest instruments.",There are many sinners in Hell.,"There was a dog barking at us.","At 8 p.m there will be a poetry reading, dirty words.",Will he be teacher?,I want you to want the job.
Better than anything the world has ever seen.,Mars is more distant from the Sun.,"He now looked like a deader fish, one of last year’s, cast up on some lonely beach and left there at the mercy of the wind and tides.",How many brothers have you got?,Dolphins got caught in the fishermen's nets.,How did you manage to enter the university? ,"I ran pretty far yesterday, but I ran even farther today.",London is most depressing in January.,John is the tallest man in the world!,There is a spider in the bath.,There was a grocery store right there.,But there will be numerous obstacles in the next 50 miles.,Currently vacant core budget posts will be frozen.,He'll just want what they all want.
It was worse than I expected.,Big dogs are more gentle than small dogs.,"if I worked really hard–if I gave 100 percent and never quit–I would still be smaller, slower, weaker, and less coordinated than the other kids.",She’s got a new boyfriend.,"The geese's eggs were found on the road, smashed.",When should I come next time?,That’s the best film I have seen this year.,I can't find my most comfortable jeans.,My house is the largest one in our neighborhood.,There are three cats on the couch.,There was a dog in the street.,"Of course, there will be events which could knock us off course.",The annex will be part of the final report that will be completed after the session.,"You have to do... whatever I want, whenever I want."
There's no point in making it look any worse than it is.,This dictionary is more useful than the one we had before.,The lights were softer.,She’s got a delightful voice.,The chickens’ eggs were taken by the farmer early in the morning.,Why are you always sad?,It's the best café in London,This is the most interesting book I have ever read., This is the smallest box I've ever seen.,There is ice cream on your shirt.,There were two police officers waiting for you outside.,"If you kill me, there will be others.","A credible, fully participatory election process will be critical to the full recognition of the Government that will be installed.",He wants money before we get Casper.
It's worse than that.,You’ll have to try to be more careful in future.,And Online Course B is cheaper than Online Course A.,It’s got 153 calories and 45g of carbohydrates.,Ten years’ experience in marketing has taught me what works and what doesn’t.,What did you order in the restaurant yesterday?,He's my best student.,Sam is the most handsome boy in the whole school.,Your dog ran the fastest of any dog in the race.,There are two cats and a midget in the car. ,There were three friends of mine who wanted to do that.,"If that happens, there will be flames.","Under the Initiative, governance will be one of the key priorities of assistance that will be coordinated by UNDP.",Coach wants us to practice layups.
Worse off than our poorest beggars.,The second lecture was more interesting than the first.,I'm taller than you.,He hasn't got many friends.,Twenty years’ experience is nothing to sneeze at.,Who won the game?,That was the best movie ever.,Jerry is the least worried about the game.,My rock flew the highest.,There is a table and two chairs in the room.,There were a lot of people outside the house.,There will be wars; there will be depressions; there will be natural disasters.,Regional preparedness will be increased and partnerships in emergencies will be further strengthened.,Everybody really wants this Andy guy.
She fell farther than she expected.,That way of calculating the figures seems less complicated to me.,He's shorter than me.,I've got swimming practice at seven.,The kittens’ toys are everywhere.,What made you change your decision?,"Max is the best at maths in his class, but is the worst at science.",Trains are the most expensive transport in London.,It was the happiest day of my life.,There's a good song on the radio.,There were many stores around here.,And of course there will be advertisements.,North Carolina weather this morning will be unseasonably cool.,Not if he wants a Nobel Prize.
