sent,type
I can do it,can
I can take care of myself,can
One cannot see them with the naked eye,can
I can't see the bones all right,can
Can you look at my screen? ,can
can you believe the luck?,can
You can spend it with a free conscience,can
I can handle it,can
I can't get it,can
you can't see them,can
Can the system learn to predict crime targets?,can
Can that be prevented?,can
You can ask Dorothy,can
You can know everything in the world and still make bad decisions,can
you can't get a copy of your genome,can
we can't identify the troublemaking gene,can
can anyone do this?,can
can doctors cure it?,can
that device can track your location,can
I can remember,can
I can't walk,can
I can't just imagine,can
can I explain?,can
can you laugh at it?,can
you can go to Californy,can
You can sit up,can
we can't get them,can
We can't stop right here,can
can we rest tonight?,can
Can we swim in it?,can
you can enjoy the evening now!,can
 I can do everything,can
I can't  help him,can
You can't know everything,can
Can floors be added? ,can
Can you remember anything?,can
it can be so,can
I can talk,can
you can't hear my words,can
they cannot kill the bird,can
Can you point it out to me?,can
Can he hear me talking?,can
I could do it,could
I could take care of myself,could
One couldn't see them with the naked eye,could
I couldn't see the bones all right,could
could you look at my screen? ,could
could you believe the luck?,could
You could spend it with a free conscience,could
I could handle it,could
I could get it,could
you could see them,could
could the system learn to predict crime targets?,could
could that be prevented?,could
You could ask Dorothy,could
You could know everything in the world and still make bad decisions,could
you couldn't get a copy of your genome,could
we couldn't identify the troublemaking gene,could
could anyone do this?,could
could doctors cure it?,could
that device could track your location,could
I could remember,could
I couldn't walk,could
I couldn't just imagine,could
could I explain?,could
could you laugh at it?,could
you could go to Californy,could
You could sit up,could
we couldn't get them,could
We couldn't stop right here,could
could we rest tonight?,could
could we swim in it?,could
you could enjoy the evening now!,could
 I could do everything,could
I couldn't help him,could
You couldn't know everything,could
could floors be added? ,could
could you remember anything?,could
it could be so,could
I could talk,could
you couldn't hear my words,could
they could not kill the bird,could
could you point it out to me?,could
could he hear me talking?,could
He will go to school,future_simple
I will go to Paris next summer,future_simple
Will we go to the beach?,future_simple
Will your boss agree with our conditions?,future_simple
Fred won't agree to help us.,future_simple
It will not be easy to convince him.,future_simple
" I will go to the river, swim and fish every day.",future_simple
He will play tennis ,future_simple
Will you buy that blue car?,future_simple
Will she call me back? ,future_simple
I will not come,future_simple
I will not take your bag ,future_simple
He'll drive this road ,future_simple
We will take a taxi.,future_simple
Will they win this match? ,future_simple
Will I come?,future_simple
They will not agree,future_simple
We will not find,future_simple
He will spend his vacation in China.,future_simple
 I will go to Madrid,future_simple
It won't happen again,future_simple
The meeting won't begin on time,future_simple
Will you see?The rain won't probably stop soon,future_simple
Will you send me a postcard?,future_simple
They will stay in Rome for a few more days,future_simple
I will always love you,future_simple
People won't go to Jupiter even in 100 years,future_simple
The bright sun won't rise again,future_simple
Will you call Jenny tomorrow evening? ,future_simple
Will you help me to find an earring?,future_simple
You will regret this,future_simple
 I will stop you!,future_simple
 The birds will not eat it,future_simple
I won't come to see you,future_simple
Will you show me  this camera?,future_simple
Will you kill Bill? ,future_simple
Kelly will pass the exam,future_simple
My father won't lend me his car,future_simple
Will you have a cup of tea?,future_simple
You will stand your ground,future_simple
Sally was doing her homework ,past_continuous
Dad and I were fishing ,past_continuous
It wasn't standing,past_continuous
They weren't playing sports ,past_continuous
Were you still working at school?,past_continuous
Was he playing the guitar? ,past_continuous
You were wasting your time,past_continuous
 I was learning grammar,past_continuous
I wasn't doing that,past_continuous
You weren't not listening,past_continuous
Were you listening to realistic songs?,past_continuous
Were you coming to our home?,past_continuous
We were making a party tonight,past_continuous
They were performing this week,past_continuous
You were not watching TV,past_continuous
I wasn't standing,past_continuous
were you watching cricket on television?,past_continuous
were you visiting your cousin this weekend?,past_continuous
Jack was talking on the phone ,past_continuous
 We were landing in Moscow ,past_continuous
I was not studying to become a dentist,past_continuous
I was reading the book Tom Sawyer,past_continuous
Is she laughing?,past_continuous
Are they listening to the teacher?,past_continuous
The doctor is conducting an operation,past_continuous
 She is taking a picture,past_continuous
I am not going to the party tonight,past_continuous
You were not swimming ,past_continuous
were they coming to your party?,past_continuous
were you listening?,past_continuous
He was reading various kinds of books,past_continuous
They were playing football now,past_continuous
They weren't reading their books,past_continuous
I wasn't going to the party tonight,past_continuous
was he sitting or standing?,past_continuous
were you sleeping?,past_continuous
We were coming for shopping in the market,past_continuous
She was drinking coffee,past_continuous
Sarah wasn't coming home,past_continuous
Ben wasn't searching for a project,past_continuous
"were you working on any special projects at work?
",past_continuous
was he visiting his parents? ,past_continuous
He went to school,past_simple
He didn't go to school,past_simple
Did he go to school? ,past_simple
I saw him yesterday,past_simple
He went to Italy last month,past_simple
We did not discuss,past_simple
They did not forget,past_simple
Did it work? ,past_simple
Did he tell? ,past_simple
She spoke to him,past_simple
"Aivazovsky painted ""the Ninth Wave""",past_simple
