link,topic
https://medium.com/@g.skoff/scaling-up-quantum-computings-greatest-challenge-37132c79b6d1,science
https://medium.com/science-and-philosophy/what-is-a-species-anyway-e34c8e4e0c2b,science
https://towardsdatascience.com/space-science-with-python-supplements-for-papers-4876ec46b418,science
https://medium.com/@peter.wurmsdobler/the-system-modelling-perspective-on-conspiracy-theories-c424c368df4a,science
https://medium.com/swlh/biofuels-a-way-into-the-future-50343cc3a51c,science
https://medium.com/@natpalmsl/what-is-black-holes-977d89d88907,science
https://medium.com/novelscience/what-scientists-and-the-public-need-to-know-about-believing-lies-and-how-we-fight-it-together-7227ef7238f6,science
https://medium.com/predict/the-haunting-world-of-the-mirrorverse-5806aecad269,science
https://medium.com/bioeconomy-xyz/synthetic-biology-the-next-revolution-95f0e929e680,science
https://arcdigital.media/the-culture-war-comes-for-the-scientists-eb434e7823ce,science
https://medium.com/@nist/how-the-jfk-assassination-bullets-were-digitally-preserved-at-nist-4635a8de9410,science
https://medium.com/predict/the-brain-behind-poison-gas-fritz-haber-18ad3ec81c4,science
https://medium.com/swlh/an-artificial-womb-could-be-a-lifeline-for-premature-babies-1f5aa7154c02,science
https://medium.com/usfishandwildlifeservicenortheast/loving-turtles-to-death-a0687101ab77,science
https://medium.com/beetlebox/tardigrades-microscopic-superheroes-on-the-moon-91d88cd8f4f6,science
https://elemental.medium.com/the-science-and-politics-of-masks-in-the-covid-19-pandemic-8d5a63f6a20c,science
https://medium.com/@vasuman/the-anarchy-in-science-545e5bb0aed,science
https://medium.com/the-infinite-universe/how-the-illusion-of-an-objective-reality-creates-time-travel-paradoxes-f0af35e661c9,science
https://medium.com/swlh/a-contribution-yet-to-be-credited-4e2b61c68534,science
https://medium.com/swlh/how-planes-fly-86b6135f30f9,science
https://medium.com/the-cosmic-companion/did-cosmic-rays-shape-life-forever-5e95cbc0ce80,science
https://onezero.medium.com/the-coronavirus-vaccine-may-not-work-on-the-elderly-3fc176f75751,science
https://medium.com/technicity/introducing-the-worlds-smallest-microelectronic-robot-81dc6134382d,science
https://medium.com/penn-engineering/penn-engineers-develop-first-tunable-chip-based-vortex-microlaser-and-detector-encode-e490e7983997,science
https://medium.com/@mipt/biophysicists-found-a-way-to-take-a-peek-at-how-membrane-receptors-work-a067aedffc42,science
https://medium.com/sapiens-org/the-scientific-sorcery-of-radiocarbon-dating-ea73d3b4b2b,science
https://medium.com/@Framework_Erik/modernas-announcement-was-great-news-just-not-for-the-reason-you-think-debdedbccea,science
https://medium.com/the-atlantic/how-could-the-cdc-make-that-mistake-8c214f37e70a,science
https://medium.com/the-cosmic-companion/how-weird-can-life-get-this-weird-fe43b7c47eac,science
https://medium.com/swlh/pangolins-are-not-to-blame-for-the-pandemic-c1f8ae9d98f4,science
https://medium.com/the-faculty/is-simulation-biology-the-next-era-of-the-synthetic-biology-revolution-aabf437f3ce1,science
https://medium.com/ux-in-plain-english/how-to-maximize-your-enterprise-software-purchase-d2b0f9924e7b,ux
https://itnext.io/building-a-synthesizer-in-typescript-5a85ea17e2f2,ux
https://uxdesign.cc/good-ux-designers-must-be-prepared-to-fight-cbf758b10854,ux
https://uxdesign.cc/banking-ux-currency-conversion-for-digital-millenials-74afa47d0b92,ux
https://uxdesign.cc/how-to-stop-the-battle-between-product-managers-and-designers-1aedc26facb7,ux
https://medium.com/swlh/run-more-effective-remote-usability-tests-with-these-5-tips-ae1ea6d3211c,ux
https://uxdesign.cc/you-are-not-a-designer-you-are-a-negotiator-e4024898cafe,ux
https://medium.com/super-jump/the-trial-of-nathan-drake-279c09c446c6,ux
https://uxdesign.cc/a-self-reflection-framework-b1ab4442a74e,ux
https://uxdesign.cc/building-an-mvp-8c0dce27dda9,ux
https://medium.com/swlh/what-is-product-design-and-what-do-product-designers-do-25bf8abf8912,ux
https://medium.com/super-jump/developing-a-game-on-your-own-8ad1b648af81,ux
https://uxdesign.cc/10-symptoms-you-might-be-a-designer-cde30a63cd6d,ux
https://uxdesign.cc/the-mystical-unicorn-designer-c824d992599,ux
https://uxdesign.cc/designing-inclusive-products-b815374499ee,ux
https://uxdesign.cc/i-am-the-user-i-am-not-the-user-40c75dcffdce,ux
https://uxdesign.cc/it-is-cheaper-to-fix-a-mistake-before-you-make-it-2f6fbb97bad6,ux
https://uxdesign.cc/the-dangers-of-premature-scaling-c8ed3d0e651c,ux
https://uxdesign.cc/part-ii-what-super-mario-odyssey-taught-me-about-ux-design-f840fde80fc7,ux
https://uxplanet.org/bringing-music-to-the-deaf-by-designing-a-new-feature-in-apple-music-18ea76a5c897,ux
https://medium.com/scaling-insights/a-practical-guide-to-avoiding-survey-bias-7343d589d811,ux
https://medium.com/pyd-studio/how-to-make-your-course-as-durable-as-donkey-kong-future-proofing-online-educational-content-9e65040c4676,ux
https://medium.com/marketade/evaluating-site-search-relevance-what-why-and-one-way-how-aeb566ae3840,ux
https://uxdesign.cc/is-accessibility-enough-ea8653b0f599,ux
https://uxdesign.cc/on-input-masking-31bc41eca2a2,ux
